T_mid,T0_ave,T1_ave,T2_ave,T3_ave
2026-02-10 01:01:36.217888,155.8053436279297,88.48832702636719,48.01665496826172,34.17390823364258
2026-02-10 01:01:37.278200,156.16574096679688,88.81714630126953,48.3913459777832,34.45842742919922
2026-02-10 01:01:38.237630,156.0991668701172,88.97306823730469,48.496795654296875,34.5044059753418
2026-02-10 01:01:39.196451,156.39199829101562,89.03204345703125,48.633644104003906,34.612091064453125
2026-02-10 01:01:40.158276,156.45494079589844,89.20079040527344,48.93494415283203,34.87804412841797
2026-02-10 01:01:41.119696,156.38766479492188,89.27420806884766,48.87595748901367,34.86897659301758
2026-02-10 01:01:42.076916,156.67758178710938,89.36580657958984,49.02490234375,35.20896530151367
2026-02-10 01:01:43.038246,156.63565063476562,89.3984146118164,49.09981155395508,35.14265060424805
2026-02-10 01:01:43.998134,156.5360107421875,89.28944396972656,48.83637619018555,34.90601348876953
2026-02-10 01:01:44.959877,156.61012268066406,89.25384521484375,48.749298095703125,34.89977264404297
2026-02-10 01:01:45.918267,156.7392578125,89.27143859863281,48.586395263671875,34.74808883666992
2026-02-10 01:01:46.875705,156.78262329101562,89.1953125,48.35706329345703,34.56254196166992
2026-02-10 01:01:47.839725,156.9306182861328,89.1935043334961,48.29046630859375,34.4339714050293
2026-02-10 01:01:48.798083,157.01492309570312,89.16659545898438,48.28949737548828,34.496978759765625
2026-02-10 01:01:49.760140,157.1273956298828,89.22926330566406,48.3314208984375,34.19102096557617
2026-02-10 01:01:50.716682,157.39248657226562,89.3209457397461,48.35846710205078,34.446327209472656
2026-02-10 01:01:51.676859,157.51327514648438,89.60973358154297,48.5869255065918,34.733726501464844
2026-02-10 01:01:52.639917,157.55137634277344,89.7712173461914,48.72772979736328,34.75016403198242
2026-02-10 01:01:53.599666,157.68014526367188,89.87823486328125,48.94330596923828,35.0206413269043
2026-02-10 01:01:54.559498,157.88052368164062,90.23101806640625,49.33720779418945,35.3498649597168
2026-02-10 01:01:55.521184,158.13189697265625,90.30253601074219,49.502906799316406,35.58038330078125
2026-02-10 01:01:56.480165,158.29493713378906,90.44124603271484,49.57783126831055,35.637290954589844
2026-02-10 01:01:57.434743,157.9119873046875,90.36524963378906,49.596038818359375,35.52606201171875
2026-02-10 01:01:58.398607,157.7600860595703,90.16873931884766,49.383506774902344,35.511444091796875
2026-02-10 01:01:59.357099,157.3822021484375,89.92728424072266,49.256591796875,35.07329177856445
2026-02-10 01:02:00.320115,157.0460968017578,89.65409851074219,48.88603973388672,34.93976593017578
2026-02-10 01:02:01.277747,156.88412475585938,89.38907623291016,48.68199920654297,34.58845901489258
2026-02-10 01:02:02.240504,156.5929412841797,89.2364273071289,48.493324279785156,34.36690139770508
2026-02-10 01:02:03.201291,156.58084106445312,89.04331970214844,48.4616813659668,34.368125915527344
2026-02-10 01:02:04.161170,156.50009155273438,88.951171875,48.29810333251953,34.375244140625
2026-02-10 01:02:05.116891,156.2993927001953,88.82156372070312,48.26703643798828,34.17580032348633
2026-02-10 01:02:06.078537,156.12142944335938,88.78489685058594,48.388221740722656,34.3517951965332
2026-02-10 01:02:07.037291,156.09402465820312,88.9480209350586,48.46934127807617,34.65122604370117
2026-02-10 01:02:07.997081,156.34866333007812,89.12747192382812,48.68037796020508,34.77568435668945
2026-02-10 01:02:08.958326,156.4609375,89.3311996459961,48.832679748535156,34.77642059326172
2026-02-10 01:02:09.919827,156.54795837402344,89.40818786621094,49.046875,34.977203369140625
2026-02-10 01:02:10.878298,156.569091796875,89.31156921386719,49.15643310546875,35.02191162109375
2026-02-10 01:02:11.837385,156.7135009765625,89.44831848144531,49.041038513183594,35.072906494140625
2026-02-10 01:02:12.798875,156.629150390625,89.35344696044922,48.81055450439453,34.868896484375
2026-02-10 01:02:13.757097,156.7054901123047,89.38236999511719,48.64570999145508,34.9059944152832
2026-02-10 01:02:14.721516,156.76690673828125,89.3335952758789,48.70304489135742,34.57721710205078
2026-02-10 01:02:15.681033,156.7737579345703,89.1454086303711,48.649742126464844,34.63889694213867
2026-02-10 01:02:16.640250,156.78515625,89.19728088378906,48.43568801879883,34.28424072265625
2026-02-10 01:02:17.599290,157.0164794921875,89.2183837890625,48.41419219970703,34.4189567565918
2026-02-10 01:02:18.560660,157.24954223632812,89.37667083740234,48.333526611328125,34.13831329345703
2026-02-10 01:02:19.520200,157.2636260986328,89.54405212402344,48.501731872558594,34.39430618286133
2026-02-10 01:02:20.479167,157.40664672851562,89.4288101196289,48.48024368286133,34.49365997314453
2026-02-10 01:02:21.437239,157.64974975585938,89.73294830322266,48.739768981933594,34.66486740112305
2026-02-10 01:02:22.399305,157.44322204589844,89.65885162353516,48.9245719909668,34.7271728515625
2026-02-10 01:02:23.358594,157.68089294433594,90.02509307861328,49.08879470825195,35.10841751098633
2026-02-10 01:02:24.321083,157.80517578125,90.18424987792969,49.28020095825195,35.20435333251953
2026-02-10 01:02:25.280625,158.13973999023438,90.4478759765625,49.46350860595703,35.50385665893555
2026-02-10 01:02:26.238469,158.05532836914062,90.41732025146484,49.615386962890625,35.623260498046875
2026-02-10 01:02:27.199607,157.94859313964844,90.33521270751953,49.47370147705078,35.47343826293945
2026-02-10 01:02:28.161038,157.72154235839844,90.14738464355469,49.30165481567383,35.32525634765625
2026-02-10 01:02:29.119206,157.43141174316406,89.98738861083984,49.26405715942383,35.209739685058594
2026-02-10 01:02:30.080222,157.2307586669922,89.65392303466797,48.83626174926758,34.99775314331055
2026-02-10 01:02:31.041912,156.9075469970703,89.56050109863281,48.69221115112305,34.57897186279297
2026-02-10 01:02:31.999867,156.7975616455078,89.27729034423828,48.39705276489258,34.50708770751953
2026-02-10 01:02:32.956964,156.4790496826172,88.94847106933594,48.28473663330078,34.265541076660156
2026-02-10 01:02:33.920251,156.37905883789062,88.90284729003906,48.28857421875,34.40680694580078
2026-02-10 01:02:34.880548,156.26100158691406,88.8120346069336,48.35686492919922,34.52067184448242
2026-02-10 01:02:35.841430,156.29782104492188,88.86670684814453,48.4882698059082,34.42954635620117
2026-02-10 01:02:36.801338,156.34336853027344,89.07035064697266,48.586570739746094,34.626747131347656
2026-02-10 01:02:37.757323,156.46322631835938,89.21564483642578,48.69506072998047,34.72124481201172
2026-02-10 01:02:38.719308,156.4452362060547,89.20417785644531,48.780555725097656,34.9517707824707
2026-02-10 01:02:39.680642,156.5192413330078,89.35285949707031,49.15776443481445,35.071998596191406
2026-02-10 01:02:40.639166,156.60511779785156,89.43586730957031,49.02009201049805,35.09729766845703
2026-02-10 01:02:41.600417,156.5906219482422,89.4787368774414,49.100982666015625,35.20576858520508
2026-02-10 01:02:42.559125,156.65565490722656,89.46958923339844,48.9432487487793,35.17866897583008
2026-02-10 01:02:43.519570,156.62608337402344,89.37642669677734,48.87184524536133,34.96111297607422
2026-02-10 01:02:44.479454,156.7802734375,89.31520080566406,48.62306594848633,34.71531295776367
2026-02-10 01:02:45.439499,156.9041290283203,89.20318603515625,48.44678497314453,34.66998291015625
2026-02-10 01:02:46.397901,156.8358917236328,89.18292236328125,48.39209747314453,34.32086944580078
2026-02-10 01:02:47.359945,156.99630737304688,89.24126434326172,48.302757263183594,34.12721633911133
2026-02-10 01:02:48.320526,157.09628295898438,89.0152359008789,48.182342529296875,33.954864501953125
2026-02-10 01:02:49.278665,157.3225860595703,89.30366516113281,48.40482711791992,34.0522346496582
2026-02-10 01:02:50.241934,157.5468292236328,89.5254898071289,48.558380126953125,34.384490966796875
2026-02-10 01:02:51.196103,157.61154174804688,89.74702453613281,48.68701171875,34.65978240966797
2026-02-10 01:02:52.157494,157.6402587890625,89.89530181884766,49.12651824951172,34.97526168823242
2026-02-10 01:02:53.121565,157.8893585205078,90.07791900634766,49.24260330200195,35.045654296875
2026-02-10 01:02:54.081245,157.89224243164062,90.22518157958984,49.32501983642578,35.29169464111328
2026-02-10 01:02:55.042118,158.03848266601562,90.40396881103516,49.4503288269043,35.54132080078125
2026-02-10 01:02:55.997843,158.29782104492188,90.47244262695312,49.79340362548828,35.74687957763672
2026-02-10 01:02:56.959884,157.8925323486328,90.43351745605469,49.756858825683594,35.63697052001953
2026-02-10 01:02:57.920848,157.74456787109375,90.21979522705078,49.50238037109375,35.34868621826172
