2025-01-01T02:01:36.521259  17137	19.018	19.058	23.048	23.289	18.212	27.399	23.531	23.531	21.355	30.864	50.215	50.161	20.425	2440.430	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:37.721242  17138	19.099	19.062	23.128	23.128	18.535	27.560	23.370	23.612	21.436	30.945	50.210	50.242	20.183	2429.597	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:38.921354  17139	19.179	19.074	22.967	23.128	18.535	27.480	23.531	23.773	21.597	31.267	50.213	50.161	20.183	2399.578	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:40.121316  17140	18.938	19.060	23.048	23.048	18.293	27.238	23.209	23.773	21.516	31.348	50.208	50.242	20.345	2433.686	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:41.321515  17141	19.099	19.064	22.967	23.128	18.293	27.399	23.209	23.612	21.355	30.945	50.187	50.242	20.345	2423.217	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:42.521392  17142	19.099	19.068	22.806	23.370	18.293	27.399	23.370	23.451	21.275	31.026	50.176	50.242	20.425	2414.050	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:43.721639  17143	19.018	19.063	22.725	23.370	18.212	27.480	23.451	23.773	21.597	31.106	50.183	50.000	20.264	2426.091	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:44.921622  17144	19.018	19.058	23.128	23.289	18.374	27.399	23.209	23.451	21.436	30.864	50.181	50.242	20.667	2436.756	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:46.121644  17145	19.018	19.054	23.048	23.209	18.454	27.641	23.048	23.451	21.678	31.187	50.187	50.242	20.586	2446.338	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:47.321774  17146	19.179	19.067	22.886	23.048	18.535	27.319	23.370	23.853	21.516	31.267	50.192	50.323	20.667	2414.221	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:01:48.521879  17147	19.018	19.062	22.967	23.128	18.212	27.319	23.209	23.451	21.436	31.026	50.189	50.242	20.667	2426.242	0	0	0	0.00	-135.000	-135.000	225.000	36.527
