Delta_T: -1603 min, Count: 515, Mean PWV Diff (%): 31.56, Std Dev: 47.13
Delta_T: -1598 min, Count: 515, Mean PWV Diff (%): 31.46, Std Dev: 46.96
Delta_T: -1593 min, Count: 515, Mean PWV Diff (%): 31.47, Std Dev: 46.92
Delta_T: -1588 min, Count: 515, Mean PWV Diff (%): 31.45, Std Dev: 46.88
Delta_T: -1583 min, Count: 515, Mean PWV Diff (%): 31.48, Std Dev: 46.89
Delta_T: -1578 min, Count: 515, Mean PWV Diff (%): 31.47, Std Dev: 46.92
Delta_T: -1573 min, Count: 515, Mean PWV Diff (%): 31.45, Std Dev: 46.84
Delta_T: -1568 min, Count: 515, Mean PWV Diff (%): 31.21, Std Dev: 46.69
Delta_T: -1558 min, Count: 515, Mean PWV Diff (%): 31.27, Std Dev: 46.60
Delta_T: -1553 min, Count: 515, Mean PWV Diff (%): 31.22, Std Dev: 46.49
Delta_T: -1548 min, Count: 515, Mean PWV Diff (%): 31.17, Std Dev: 46.40
Delta_T: -1543 min, Count: 515, Mean PWV Diff (%): 31.14, Std Dev: 46.38
Delta_T: -1538 min, Count: 515, Mean PWV Diff (%): 31.10, Std Dev: 46.32
Delta_T: -1533 min, Count: 515, Mean PWV Diff (%): 31.11, Std Dev: 46.27
Delta_T: -1528 min, Count: 515, Mean PWV Diff (%): 30.98, Std Dev: 46.14
Delta_T: -1523 min, Count: 515, Mean PWV Diff (%): 31.05, Std Dev: 46.10
Delta_T: -1518 min, Count: 515, Mean PWV Diff (%): 31.01, Std Dev: 46.09
Delta_T: -1513 min, Count: 515, Mean PWV Diff (%): 30.92, Std Dev: 46.01
Delta_T: -1508 min, Count: 515, Mean PWV Diff (%): 30.58, Std Dev: 45.81
Delta_T: -1498 min, Count: 282, Mean PWV Diff (%): 28.42, Std Dev: 41.03
Delta_T: -1493 min, Count: 282, Mean PWV Diff (%): 28.45, Std Dev: 40.94
Delta_T: -1488 min, Count: 282, Mean PWV Diff (%): 28.37, Std Dev: 40.89
Delta_T: -1483 min, Count: 282, Mean PWV Diff (%): 28.38, Std Dev: 40.91
Delta_T: -1478 min, Count: 282, Mean PWV Diff (%): 28.39, Std Dev: 41.01
Delta_T: -1473 min, Count: 282, Mean PWV Diff (%): 28.24, Std Dev: 40.87
Delta_T: -1468 min, Count: 282, Mean PWV Diff (%): 28.22, Std Dev: 40.67
Delta_T: -1463 min, Count: 282, Mean PWV Diff (%): 28.12, Std Dev: 40.50
Delta_T: -1458 min, Count: 282, Mean PWV Diff (%): 28.15, Std Dev: 40.42
Delta_T: -1453 min, Count: 282, Mean PWV Diff (%): 27.99, Std Dev: 40.40
Delta_T: -1448 min, Count: 282, Mean PWV Diff (%): 27.79, Std Dev: 40.21
Delta_T: -1378 min, Count: 516, Mean PWV Diff (%): 29.77, Std Dev: 43.85
Delta_T: -1373 min, Count: 515, Mean PWV Diff (%): 29.94, Std Dev: 44.03
Delta_T: -1368 min, Count: 515, Mean PWV Diff (%): 30.05, Std Dev: 44.04
Delta_T: -1363 min, Count: 515, Mean PWV Diff (%): 30.10, Std Dev: 44.04
Delta_T: -1358 min, Count: 515, Mean PWV Diff (%): 29.95, Std Dev: 43.94
Delta_T: -1353 min, Count: 515, Mean PWV Diff (%): 29.88, Std Dev: 43.88
Delta_T: -1348 min, Count: 515, Mean PWV Diff (%): 29.83, Std Dev: 43.79
Delta_T: -1343 min, Count: 515, Mean PWV Diff (%): 29.83, Std Dev: 43.75
Delta_T: -1338 min, Count: 515, Mean PWV Diff (%): 29.80, Std Dev: 43.64
Delta_T: -1333 min, Count: 515, Mean PWV Diff (%): 29.61, Std Dev: 43.53
Delta_T: -1328 min, Count: 515, Mean PWV Diff (%): 29.34, Std Dev: 43.42
Delta_T: -1318 min, Count: 515, Mean PWV Diff (%): 29.48, Std Dev: 43.51
Delta_T: -1313 min, Count: 515, Mean PWV Diff (%): 29.53, Std Dev: 43.49
Delta_T: -1308 min, Count: 515, Mean PWV Diff (%): 29.55, Std Dev: 43.46
Delta_T: -1303 min, Count: 515, Mean PWV Diff (%): 29.58, Std Dev: 43.42
Delta_T: -1298 min, Count: 515, Mean PWV Diff (%): 29.51, Std Dev: 43.22
Delta_T: -1293 min, Count: 515, Mean PWV Diff (%): 29.47, Std Dev: 43.01
Delta_T: -1288 min, Count: 515, Mean PWV Diff (%): 29.50, Std Dev: 42.88
Delta_T: -1283 min, Count: 515, Mean PWV Diff (%): 29.51, Std Dev: 42.82
Delta_T: -1277 min, Count: 515, Mean PWV Diff (%): 29.46, Std Dev: 42.64
Delta_T: -1272 min, Count: 515, Mean PWV Diff (%): 29.43, Std Dev: 42.49
Delta_T: -1267 min, Count: 515, Mean PWV Diff (%): 29.21, Std Dev: 42.34
Delta_T: -1258 min, Count: 517, Mean PWV Diff (%): 29.27, Std Dev: 42.06
Delta_T: -1253 min, Count: 517, Mean PWV Diff (%): 29.28, Std Dev: 42.02
Delta_T: -1248 min, Count: 517, Mean PWV Diff (%): 29.25, Std Dev: 41.94
Delta_T: -1243 min, Count: 517, Mean PWV Diff (%): 29.17, Std Dev: 41.81
Delta_T: -1238 min, Count: 517, Mean PWV Diff (%): 29.10, Std Dev: 41.75
Delta_T: -1233 min, Count: 517, Mean PWV Diff (%): 29.03, Std Dev: 41.72
Delta_T: -1228 min, Count: 517, Mean PWV Diff (%): 28.98, Std Dev: 41.65
Delta_T: -1223 min, Count: 517, Mean PWV Diff (%): 29.04, Std Dev: 41.58
Delta_T: -1218 min, Count: 517, Mean PWV Diff (%): 28.99, Std Dev: 41.42
Delta_T: -1213 min, Count: 517, Mean PWV Diff (%): 28.83, Std Dev: 41.26
Delta_T: -1208 min, Count: 517, Mean PWV Diff (%): 28.52, Std Dev: 41.14
Delta_T: -1138 min, Count: 516, Mean PWV Diff (%): 27.98, Std Dev: 40.54
Delta_T: -1133 min, Count: 516, Mean PWV Diff (%): 28.11, Std Dev: 40.50
Delta_T: -1128 min, Count: 516, Mean PWV Diff (%): 28.24, Std Dev: 40.54
Delta_T: -1123 min, Count: 516, Mean PWV Diff (%): 28.34, Std Dev: 40.64
Delta_T: -1118 min, Count: 516, Mean PWV Diff (%): 28.36, Std Dev: 40.66
Delta_T: -1113 min, Count: 516, Mean PWV Diff (%): 28.36, Std Dev: 40.60
Delta_T: -1108 min, Count: 516, Mean PWV Diff (%): 28.40, Std Dev: 40.58
Delta_T: -1103 min, Count: 516, Mean PWV Diff (%): 28.48, Std Dev: 40.69
Delta_T: -1098 min, Count: 516, Mean PWV Diff (%): 28.54, Std Dev: 40.68
Delta_T: -1093 min, Count: 516, Mean PWV Diff (%): 28.49, Std Dev: 40.63
Delta_T: -1087 min, Count: 516, Mean PWV Diff (%): 28.20, Std Dev: 40.49
Delta_T: -1078 min, Count: 516, Mean PWV Diff (%): 28.27, Std Dev: 40.40
Delta_T: -1073 min, Count: 516, Mean PWV Diff (%): 28.23, Std Dev: 40.32
Delta_T: -1068 min, Count: 516, Mean PWV Diff (%): 28.21, Std Dev: 40.14
Delta_T: -1063 min, Count: 516, Mean PWV Diff (%): 28.09, Std Dev: 39.91
Delta_T: -1058 min, Count: 516, Mean PWV Diff (%): 27.97, Std Dev: 39.76
Delta_T: -1053 min, Count: 516, Mean PWV Diff (%): 27.90, Std Dev: 39.67
Delta_T: -1048 min, Count: 516, Mean PWV Diff (%): 27.85, Std Dev: 39.47
Delta_T: -1043 min, Count: 516, Mean PWV Diff (%): 27.83, Std Dev: 39.33
Delta_T: -1038 min, Count: 516, Mean PWV Diff (%): 27.83, Std Dev: 39.23
Delta_T: -1033 min, Count: 516, Mean PWV Diff (%): 27.80, Std Dev: 39.04
Delta_T: -1028 min, Count: 516, Mean PWV Diff (%): 27.53, Std Dev: 38.87
Delta_T: -1018 min, Count: 517, Mean PWV Diff (%): 27.69, Std Dev: 38.57
Delta_T: -1013 min, Count: 517, Mean PWV Diff (%): 27.63, Std Dev: 38.34
Delta_T: -1008 min, Count: 517, Mean PWV Diff (%): 27.52, Std Dev: 38.16
Delta_T: -1003 min, Count: 517, Mean PWV Diff (%): 27.45, Std Dev: 38.03
Delta_T: -998 min, Count: 517, Mean PWV Diff (%): 27.31, Std Dev: 37.92
Delta_T: -993 min, Count: 517, Mean PWV Diff (%): 27.26, Std Dev: 37.89
Delta_T: -988 min, Count: 517, Mean PWV Diff (%): 27.16, Std Dev: 37.82
Delta_T: -983 min, Count: 517, Mean PWV Diff (%): 27.15, Std Dev: 37.73
Delta_T: -978 min, Count: 517, Mean PWV Diff (%): 27.14, Std Dev: 37.67
Delta_T: -973 min, Count: 517, Mean PWV Diff (%): 27.09, Std Dev: 37.51
Delta_T: -968 min, Count: 517, Mean PWV Diff (%): 26.79, Std Dev: 37.33
Delta_T: -898 min, Count: 518, Mean PWV Diff (%): 26.90, Std Dev: 35.77
Delta_T: -893 min, Count: 518, Mean PWV Diff (%): 26.99, Std Dev: 35.70
Delta_T: -888 min, Count: 517, Mean PWV Diff (%): 27.11, Std Dev: 35.65
Delta_T: -883 min, Count: 517, Mean PWV Diff (%): 27.13, Std Dev: 35.52
Delta_T: -878 min, Count: 517, Mean PWV Diff (%): 27.07, Std Dev: 35.38
Delta_T: -873 min, Count: 517, Mean PWV Diff (%): 27.06, Std Dev: 35.32
Delta_T: -868 min, Count: 517, Mean PWV Diff (%): 27.02, Std Dev: 35.19
Delta_T: -863 min, Count: 517, Mean PWV Diff (%): 27.03, Std Dev: 35.10
Delta_T: -858 min, Count: 517, Mean PWV Diff (%): 27.04, Std Dev: 34.95
Delta_T: -853 min, Count: 517, Mean PWV Diff (%): 26.96, Std Dev: 34.77
Delta_T: -848 min, Count: 517, Mean PWV Diff (%): 26.72, Std Dev: 34.56
Delta_T: -838 min, Count: 519, Mean PWV Diff (%): 26.74, Std Dev: 34.36
Delta_T: -833 min, Count: 519, Mean PWV Diff (%): 26.70, Std Dev: 34.23
Delta_T: -828 min, Count: 519, Mean PWV Diff (%): 26.71, Std Dev: 34.13
