TIME, am_PWV(um), balloon_PWV(um) 
2024-01-12 11:01:36, 956.176, 840.0 
2024-01-12 11:06:38, 958.907, 840.0 
2024-01-12 11:11:40, 960.293, 840.0 
2024-01-12 11:16:43, 962.144, 840.0 
2024-01-12 11:21:45, 963.035, 840.0 
2024-01-12 11:26:48, 962.928, 840.0 
2024-01-12 11:31:50, 961.871, 840.0 
2024-01-12 11:36:52, 959.439, 840.0 
2024-01-12 11:41:55, 955.834, 840.0 
2024-01-12 11:46:57, 953.159, 840.0 
2024-01-12 11:52:00, 950.398, 840.0 
2024-01-12 11:01:36, 956.176, 840.0 
2024-01-12 11:06:38, 958.907, 840.0 
2024-01-12 11:11:40, 960.293, 840.0 
2024-01-12 11:16:43, 962.144, 840.0 
2024-01-12 11:21:45, 963.035, 840.0 
2024-01-12 11:26:48, 962.928, 840.0 
2024-01-12 11:31:50, 961.871, 840.0 
2024-01-12 11:36:52, 959.439, 840.0 
2024-01-12 11:41:55, 955.834, 840.0 
2024-01-12 11:46:57, 953.159, 840.0 
2024-01-12 11:52:00, 950.398, 840.0 
