PWV_diff,Delta_T
2.789090909090908,2221
2.6157575757575806,2226
2.49757575757576,2231
2.8048484848484834,2236
2.6509090909090918,2241
2.2624242424242382,2246
2.133333333333336,2251
1.97333333333333,2256
2.168484848484847,2261
2.5036363636363603,2266
2.7812121212121275,2272
3.1533333333333315,2281
2.690303030303036,2286
2.3842424242424194,2291
2.52848484848485,2296
2.4618181818181752,2301
2.185454545454542,2306
2.093333333333331,2311
2.0539393939394,2317
1.9315151515151447,2322
1.9533333333333343,2327
1.8854545454545395,2332
1.4981818181818198,2341
1.2527272727272771,2346
1.1012121212121255,2351
1.3999999999999946,2356
1.5836363636363704,2361
1.6539393939393916,2366
1.711515151515152,2371
1.5836363636363704,2376
1.5836363636363704,2381
1.5836363636363704,2386
1.5836363636363704,2392
2.1121212121212065,2461
1.9684848484848496,2466
2.112727272727267,2471
2.4290909090909047,2476
2.732727272727268,2481
2.673333333333327,2486
3.05575757575758,2491
3.186666666666662,2496
3.5163636363636357,2501
4.007272727272721,2506
4.172121212121207,2512
4.073333333333336,2521
4.183030303030302,2526
4.4127272727272695,2531
4.255757575757578,2536
4.03090909090909,2541
3.858787878787883,2546
3.6157575757575806,2551
3.5763636363636357,2556
3.617575757575761,2561
3.8533333333333286,2566
3.9418181818181797,2572
4.036969696969691,2581
3.52484848484849,2586
3.0606060606060606,2591
2.891515151515154,2596
2.7818181818181875,2601
2.645454545454551,2606
2.2545454545454575,2611
1.9909090909090856,2616
1.8169696969696982,2621
1.4454545454545398,2626
1.3133333333333377,2632
0.27636363636363304,2701
0.20606060606061155,2706
0.2587878787878777,2711
0.6000000000000055,2716
0.5393939393939449,2721
0.1345454545454562,2726
-0.3836363636363592,2731
-0.7593939393939377,2736
-0.9848484848484848,2741
-1.175757575757581,2746
-1.4036363636363685,2752
-1.575757575757576,2761
-1.6266666666666616,2766
-1.5539393939394,2771
-1.5569696969697002,2776
-1.4103030303030293,2781
-1.1533333333333318,2786
-1.1157575757575806,2791
-1.4006060606060546,2796
-1.549090909090906,2801
-1.682424242424242,2806
-2.0103030303030347,2811
-2.195151515151517,2821
-2.1278787878787817,2826
-2.1121212121212065,2831
-2.1036363636363657,2836
-2.0715151515151553,2841
-2.0581818181818203,2846
-1.9181818181818238,2851
-1.788484848484848,2856
-2.02848484848485,2861
-2.1321212121212163,2866
-2.232121212121208,2872
