TIME, am_PWV(um), balloon_PWV(um) 
2024-02-11 11:01:35, 940.872, 810.0 
2024-02-11 11:06:38, 941.092, 810.0 
2024-02-11 11:11:40, 941.546, 810.0 
2024-02-11 11:16:43, 942.011, 810.0 
2024-02-11 11:21:45, 941.825, 810.0 
2024-02-11 11:26:47, 942.674, 810.0 
2024-02-11 11:31:50, 945.798, 810.0 
2024-02-11 11:36:52, 949.307, 810.0 
2024-02-11 11:41:55, 953.382, 810.0 
2024-02-11 11:46:57, 954.914, 810.0 
2024-02-11 11:51:59, 954.218, 810.0 
2024-02-11 11:01:35, 940.872, 810.0 
2024-02-11 11:06:38, 941.092, 810.0 
2024-02-11 11:11:40, 941.546, 810.0 
2024-02-11 11:16:43, 942.011, 810.0 
2024-02-11 11:21:45, 941.825, 810.0 
2024-02-11 11:26:47, 942.674, 810.0 
2024-02-11 11:31:50, 945.798, 810.0 
2024-02-11 11:36:52, 949.307, 810.0 
2024-02-11 11:41:55, 953.382, 810.0 
2024-02-11 11:46:57, 954.914, 810.0 
2024-02-11 11:51:59, 954.218, 810.0 
