TIME, am_PWV(um), balloon_PWV(um) 
2024-01-19 11:01:36, 1066.02, 880.0 
2024-01-19 11:06:38, 1065.87, 880.0 
2024-01-19 11:11:40, 1064.91, 880.0 
2024-01-19 11:16:43, 1065.12, 880.0 
2024-01-19 11:21:45, 1063.31, 880.0 
2024-01-19 11:26:48, 1063.67, 880.0 
2024-01-19 11:31:50, 1059.52, 880.0 
2024-01-19 11:36:53, 1057.32, 880.0 
2024-01-19 11:41:55, 1060.92, 880.0 
2024-01-19 11:46:57, 1063.83, 880.0 
2024-01-19 11:52:00, 1061.41, 880.0 
2024-01-19 11:01:36, 1066.02, 880.0 
2024-01-19 11:06:38, 1065.87, 880.0 
2024-01-19 11:11:40, 1064.91, 880.0 
2024-01-19 11:16:43, 1065.12, 880.0 
2024-01-19 11:21:45, 1063.31, 880.0 
2024-01-19 11:26:48, 1063.67, 880.0 
2024-01-19 11:31:50, 1059.52, 880.0 
2024-01-19 11:36:53, 1057.32, 880.0 
2024-01-19 11:41:55, 1060.92, 880.0 
2024-01-19 11:46:57, 1063.83, 880.0 
2024-01-19 11:52:00, 1061.41, 880.0 
