TIME, am_PWV(um), balloon_PWV(um) 
2024-02-13 11:01:35, 579.802, 470.0 
2024-02-13 11:06:38, 579.973, 470.0 
2024-02-13 11:11:40, 584.044, 470.0 
2024-02-13 11:16:43, 582.696, 470.0 
2024-02-13 11:21:45, 583.127, 470.0 
2024-02-13 11:26:48, 587.571, 470.0 
2024-02-13 11:31:50, 589.457, 470.0 
2024-02-13 11:36:52, 588.909, 470.0 
2024-02-13 11:41:55, 587.282, 470.0 
2024-02-13 11:46:57, 585.821, 470.0 
2024-02-13 11:52:00, 585.634, 470.0 
2024-02-13 11:01:35, 579.802, 470.0 
2024-02-13 11:06:38, 579.973, 470.0 
2024-02-13 11:11:40, 584.044, 470.0 
2024-02-13 11:16:43, 582.696, 470.0 
2024-02-13 11:21:45, 583.127, 470.0 
2024-02-13 11:26:48, 587.571, 470.0 
2024-02-13 11:31:50, 589.457, 470.0 
2024-02-13 11:36:52, 588.909, 470.0 
2024-02-13 11:41:55, 587.282, 470.0 
2024-02-13 11:46:57, 585.821, 470.0 
2024-02-13 11:52:00, 585.634, 470.0 
