TIME, am_PWV(um), balloon_PWV(um) 
2024-01-23 11:01:36, 955.315, 870.0 
2024-01-23 11:06:38, 957.085, 870.0 
2024-01-23 11:11:41, 959.297, 870.0 
2024-01-23 11:16:43, 962.358, 870.0 
2024-01-23 11:21:45, 965.547, 870.0 
2024-01-23 11:26:48, 968.006, 870.0 
2024-01-23 11:31:50, 971.034, 870.0 
2024-01-23 11:36:53, 974.77, 870.0 
2024-01-23 11:41:55, 980.188, 870.0 
2024-01-23 11:46:58, 991.52, 870.0 
2024-01-23 11:52:00, 1002.28, 870.0 
2024-01-23 11:01:36, 955.315, 870.0 
2024-01-23 11:06:38, 957.085, 870.0 
2024-01-23 11:11:41, 959.297, 870.0 
2024-01-23 11:16:43, 962.358, 870.0 
2024-01-23 11:21:45, 965.547, 870.0 
2024-01-23 11:26:48, 968.006, 870.0 
2024-01-23 11:31:50, 971.034, 870.0 
2024-01-23 11:36:53, 974.77, 870.0 
2024-01-23 11:41:55, 980.188, 870.0 
2024-01-23 11:46:58, 991.52, 870.0 
2024-01-23 11:52:00, 1002.28, 870.0 
