TIME, am_PWV(um), balloon_PWV(um) 
2024-01-21 11:01:36, 1150.02, 970.0 
2024-01-21 11:06:38, 1148.84, 970.0 
2024-01-21 11:11:40, 1148.56, 970.0 
2024-01-21 11:16:43, 1150.22, 970.0 
2024-01-21 11:21:45, 1149.08, 970.0 
2024-01-21 11:26:49, 1150.28, 970.0 
2024-01-21 11:31:51, 1152.3, 970.0 
2024-01-21 11:36:53, 1155.97, 970.0 
2024-01-21 11:41:56, 1158.45, 970.0 
2024-01-21 11:46:58, 1160.18, 970.0 
2024-01-21 11:52:01, 1162.13, 970.0 
2024-01-21 11:01:36, 1150.02, 970.0 
2024-01-21 11:06:38, 1148.84, 970.0 
2024-01-21 11:11:40, 1148.56, 970.0 
2024-01-21 11:16:43, 1150.22, 970.0 
2024-01-21 11:21:45, 1149.08, 970.0 
2024-01-21 11:26:49, 1150.28, 970.0 
2024-01-21 11:31:51, 1152.3, 970.0 
2024-01-21 11:36:53, 1155.97, 970.0 
2024-01-21 11:41:56, 1158.45, 970.0 
2024-01-21 11:46:58, 1160.18, 970.0 
2024-01-21 11:52:01, 1162.13, 970.0 
