TIME, am_PWV(um), balloon_PWV(um) 
2024-01-30 11:01:36, 1205.63, 980.0 
2024-01-30 11:06:38, 1202.46, 980.0 
2024-01-30 11:11:42, 1190.81, 980.0 
2024-01-30 11:16:44, 1183.98, 980.0 
2024-01-30 11:21:46, 1182.53, 980.0 
2024-01-30 11:26:49, 1181.85, 980.0 
2024-01-30 11:31:51, 1188.58, 980.0 
2024-01-30 11:36:54, 1188.92, 980.0 
2024-01-30 11:41:56, 1185.24, 980.0 
2024-01-30 11:46:58, 1179.19, 980.0 
2024-01-30 11:52:01, 1168.88, 980.0 
2024-01-30 11:01:36, 1205.63, 980.0 
2024-01-30 11:06:38, 1202.46, 980.0 
2024-01-30 11:11:42, 1190.81, 980.0 
2024-01-30 11:16:44, 1183.98, 980.0 
2024-01-30 11:21:46, 1182.53, 980.0 
2024-01-30 11:26:49, 1181.85, 980.0 
2024-01-30 11:31:51, 1188.58, 980.0 
2024-01-30 11:36:54, 1188.92, 980.0 
2024-01-30 11:41:56, 1185.24, 980.0 
2024-01-30 11:46:58, 1179.19, 980.0 
2024-01-30 11:52:01, 1168.88, 980.0 
