TIME, am_PWV(um), balloon_PWV(um) 
2024-01-04 11:01:36, 1424.32, 1250.0 
2024-01-04 11:06:38, 1419.29, 1250.0 
2024-01-04 11:11:41, 1415.17, 1250.0 
2024-01-04 11:16:43, 1408.98, 1250.0 
2024-01-04 11:21:46, 1401.67, 1250.0 
2024-01-04 11:26:48, 1395.43, 1250.0 
2024-01-04 11:31:50, 1388.48, 1250.0 
2024-01-04 11:36:53, 1380.61, 1250.0 
2024-01-04 11:41:55, 1373.54, 1250.0 
2024-01-04 11:46:58, 1364.94, 1250.0 
2024-01-04 11:52:00, 1354.89, 1250.0 
2024-01-04 11:01:36, 1424.32, 1250.0 
2024-01-04 11:06:38, 1419.29, 1250.0 
2024-01-04 11:11:41, 1415.17, 1250.0 
2024-01-04 11:16:43, 1408.98, 1250.0 
2024-01-04 11:21:46, 1401.67, 1250.0 
2024-01-04 11:26:48, 1395.43, 1250.0 
2024-01-04 11:31:50, 1388.48, 1250.0 
2024-01-04 11:36:53, 1380.61, 1250.0 
2024-01-04 11:41:55, 1373.54, 1250.0 
2024-01-04 11:46:58, 1364.94, 1250.0 
2024-01-04 11:52:00, 1354.89, 1250.0 
2024-01-04 11:01:36, 1424.32, 1250.0 
2024-01-04 11:06:38, 1419.29, 1250.0 
2024-01-04 11:11:41, 1415.17, 1250.0 
2024-01-04 11:16:43, 1408.98, 1250.0 
2024-01-04 11:21:46, 1401.67, 1250.0 
2024-01-04 11:26:48, 1395.43, 1250.0 
2024-01-04 11:31:50, 1388.48, 1250.0 
2024-01-04 11:36:53, 1380.61, 1250.0 
2024-01-04 11:41:55, 1373.54, 1250.0 
2024-01-04 11:46:58, 1364.94, 1250.0 
2024-01-04 11:52:00, 1354.89, 1250.0 
