TIME, am_PWV(um), balloon_PWV(um) 
2024-01-14 11:01:35, 1034.33, 840.0 
2024-01-14 11:06:38, 1031.47, 840.0 
2024-01-14 11:11:40, 1029.23, 840.0 
2024-01-14 11:16:43, 1027.17, 840.0 
2024-01-14 11:21:45, 1024.16, 840.0 
2024-01-14 11:26:47, 1020.06, 840.0 
2024-01-14 11:31:50, 1016.82, 840.0 
2024-01-14 11:36:52, 1016.69, 840.0 
2024-01-14 11:41:55, 1015.06, 840.0 
2024-01-14 11:46:57, 1011.56, 840.0 
2024-01-14 11:51:59, 1003.49, 840.0 
2024-01-14 11:01:35, 1034.33, 840.0 
2024-01-14 11:06:38, 1031.47, 840.0 
2024-01-14 11:11:40, 1029.23, 840.0 
2024-01-14 11:16:43, 1027.17, 840.0 
2024-01-14 11:21:45, 1024.16, 840.0 
2024-01-14 11:26:47, 1020.06, 840.0 
2024-01-14 11:31:50, 1016.82, 840.0 
2024-01-14 11:36:52, 1016.69, 840.0 
2024-01-14 11:41:55, 1015.06, 840.0 
2024-01-14 11:46:57, 1011.56, 840.0 
2024-01-14 11:51:59, 1003.49, 840.0 
