TIME, am_PWV(um), balloon_PWV(um) 
2024-01-26 11:01:35, 836.956, 730.0 
2024-01-26 11:06:38, 842.395, 730.0 
2024-01-26 11:11:40, 843.884, 730.0 
2024-01-26 11:16:42, 840.455, 730.0 
2024-01-26 11:21:45, 840.049, 730.0 
2024-01-26 11:26:47, 840.558, 730.0 
2024-01-26 11:31:50, 840.787, 730.0 
2024-01-26 11:36:52, 839.77, 730.0 
2024-01-26 11:41:54, 840.591, 730.0 
2024-01-26 11:46:57, 837.647, 730.0 
2024-01-26 11:51:59, 836.717, 730.0 
2024-01-26 11:01:35, 836.956, 730.0 
2024-01-26 11:06:38, 842.395, 730.0 
2024-01-26 11:11:40, 843.884, 730.0 
2024-01-26 11:16:42, 840.455, 730.0 
2024-01-26 11:21:45, 840.049, 730.0 
2024-01-26 11:26:47, 840.558, 730.0 
2024-01-26 11:31:50, 840.787, 730.0 
2024-01-26 11:36:52, 839.77, 730.0 
2024-01-26 11:41:54, 840.591, 730.0 
2024-01-26 11:46:57, 837.647, 730.0 
2024-01-26 11:51:59, 836.717, 730.0 
