Delta_T: -1603 min, Count: 466, Mean PWV Diff (%): 29.04, Std Dev: 34.63
Delta_T: -1598 min, Count: 452, Mean PWV Diff (%): 27.08, Std Dev: 31.18
Delta_T: -1593 min, Count: 462, Mean PWV Diff (%): 26.81, Std Dev: 31.90
Delta_T: -1588 min, Count: 456, Mean PWV Diff (%): 27.05, Std Dev: 32.16
Delta_T: -1583 min, Count: 466, Mean PWV Diff (%): 27.60, Std Dev: 32.89
Delta_T: -1578 min, Count: 458, Mean PWV Diff (%): 26.68, Std Dev: 33.58
Delta_T: -1573 min, Count: 459, Mean PWV Diff (%): 26.18, Std Dev: 32.17
Delta_T: -1568 min, Count: 463, Mean PWV Diff (%): 26.17, Std Dev: 33.26
Delta_T: -1558 min, Count: 461, Mean PWV Diff (%): 25.52, Std Dev: 31.13
Delta_T: -1553 min, Count: 450, Mean PWV Diff (%): 26.07, Std Dev: 30.18
Delta_T: -1548 min, Count: 464, Mean PWV Diff (%): 25.54, Std Dev: 31.12
Delta_T: -1543 min, Count: 462, Mean PWV Diff (%): 24.45, Std Dev: 29.92
Delta_T: -1538 min, Count: 451, Mean PWV Diff (%): 24.55, Std Dev: 28.15
Delta_T: -1533 min, Count: 455, Mean PWV Diff (%): 25.55, Std Dev: 30.38
Delta_T: -1528 min, Count: 460, Mean PWV Diff (%): 26.34, Std Dev: 31.56
Delta_T: -1523 min, Count: 459, Mean PWV Diff (%): 26.46, Std Dev: 29.97
Delta_T: -1518 min, Count: 465, Mean PWV Diff (%): 26.55, Std Dev: 31.52
Delta_T: -1513 min, Count: 460, Mean PWV Diff (%): 26.33, Std Dev: 31.13
Delta_T: -1508 min, Count: 462, Mean PWV Diff (%): 25.27, Std Dev: 30.32
Delta_T: -1498 min, Count: 243, Mean PWV Diff (%): 25.47, Std Dev: 29.82
Delta_T: -1493 min, Count: 226, Mean PWV Diff (%): 24.96, Std Dev: 27.19
Delta_T: -1488 min, Count: 239, Mean PWV Diff (%): 25.08, Std Dev: 28.32
Delta_T: -1483 min, Count: 232, Mean PWV Diff (%): 24.24, Std Dev: 27.34
Delta_T: -1478 min, Count: 235, Mean PWV Diff (%): 24.30, Std Dev: 28.02
Delta_T: -1473 min, Count: 238, Mean PWV Diff (%): 24.60, Std Dev: 29.14
Delta_T: -1468 min, Count: 237, Mean PWV Diff (%): 24.05, Std Dev: 28.53
Delta_T: -1463 min, Count: 232, Mean PWV Diff (%): 25.36, Std Dev: 27.26
Delta_T: -1458 min, Count: 230, Mean PWV Diff (%): 24.19, Std Dev: 26.72
Delta_T: -1453 min, Count: 235, Mean PWV Diff (%): 23.39, Std Dev: 27.09
Delta_T: -1448 min, Count: 230, Mean PWV Diff (%): 24.92, Std Dev: 25.71
Delta_T: -1378 min, Count: 459, Mean PWV Diff (%): 24.50, Std Dev: 27.66
Delta_T: -1373 min, Count: 459, Mean PWV Diff (%): 24.26, Std Dev: 29.68
Delta_T: -1368 min, Count: 465, Mean PWV Diff (%): 25.77, Std Dev: 30.52
Delta_T: -1363 min, Count: 464, Mean PWV Diff (%): 25.51, Std Dev: 30.31
Delta_T: -1358 min, Count: 455, Mean PWV Diff (%): 24.78, Std Dev: 28.18
Delta_T: -1353 min, Count: 460, Mean PWV Diff (%): 24.82, Std Dev: 27.74
Delta_T: -1348 min, Count: 458, Mean PWV Diff (%): 25.20, Std Dev: 27.49
Delta_T: -1343 min, Count: 454, Mean PWV Diff (%): 25.22, Std Dev: 29.21
Delta_T: -1338 min, Count: 463, Mean PWV Diff (%): 24.60, Std Dev: 28.15
Delta_T: -1333 min, Count: 464, Mean PWV Diff (%): 25.61, Std Dev: 29.21
Delta_T: -1328 min, Count: 470, Mean PWV Diff (%): 26.43, Std Dev: 30.53
Delta_T: -1318 min, Count: 467, Mean PWV Diff (%): 24.56, Std Dev: 29.88
Delta_T: -1313 min, Count: 460, Mean PWV Diff (%): 23.93, Std Dev: 28.34
Delta_T: -1308 min, Count: 461, Mean PWV Diff (%): 24.03, Std Dev: 29.21
Delta_T: -1303 min, Count: 455, Mean PWV Diff (%): 23.63, Std Dev: 27.04
Delta_T: -1298 min, Count: 459, Mean PWV Diff (%): 23.22, Std Dev: 27.21
Delta_T: -1293 min, Count: 468, Mean PWV Diff (%): 25.21, Std Dev: 30.81
Delta_T: -1288 min, Count: 458, Mean PWV Diff (%): 24.48, Std Dev: 27.28
Delta_T: -1283 min, Count: 462, Mean PWV Diff (%): 25.36, Std Dev: 29.15
Delta_T: -1277 min, Count: 469, Mean PWV Diff (%): 24.85, Std Dev: 29.01
Delta_T: -1272 min, Count: 455, Mean PWV Diff (%): 23.87, Std Dev: 26.54
Delta_T: -1267 min, Count: 460, Mean PWV Diff (%): 24.05, Std Dev: 27.64
Delta_T: -1258 min, Count: 463, Mean PWV Diff (%): 22.42, Std Dev: 26.74
Delta_T: -1253 min, Count: 470, Mean PWV Diff (%): 22.95, Std Dev: 27.82
Delta_T: -1248 min, Count: 467, Mean PWV Diff (%): 24.95, Std Dev: 28.55
Delta_T: -1243 min, Count: 464, Mean PWV Diff (%): 24.65, Std Dev: 27.54
Delta_T: -1238 min, Count: 463, Mean PWV Diff (%): 23.64, Std Dev: 27.19
Delta_T: -1233 min, Count: 470, Mean PWV Diff (%): 24.90, Std Dev: 28.23
Delta_T: -1228 min, Count: 474, Mean PWV Diff (%): 24.85, Std Dev: 28.39
Delta_T: -1223 min, Count: 460, Mean PWV Diff (%): 24.27, Std Dev: 26.69
Delta_T: -1218 min, Count: 461, Mean PWV Diff (%): 24.08, Std Dev: 27.30
Delta_T: -1213 min, Count: 472, Mean PWV Diff (%): 25.43, Std Dev: 29.46
Delta_T: -1208 min, Count: 463, Mean PWV Diff (%): 24.51, Std Dev: 26.62
Delta_T: -1138 min, Count: 466, Mean PWV Diff (%): 23.36, Std Dev: 27.14
Delta_T: -1133 min, Count: 471, Mean PWV Diff (%): 24.39, Std Dev: 28.11
Delta_T: -1128 min, Count: 468, Mean PWV Diff (%): 24.89, Std Dev: 27.74
Delta_T: -1123 min, Count: 473, Mean PWV Diff (%): 23.82, Std Dev: 28.00
Delta_T: -1118 min, Count: 479, Mean PWV Diff (%): 25.15, Std Dev: 30.01
Delta_T: -1113 min, Count: 470, Mean PWV Diff (%): 24.10, Std Dev: 27.56
Delta_T: -1108 min, Count: 475, Mean PWV Diff (%): 25.89, Std Dev: 28.84
Delta_T: -1103 min, Count: 464, Mean PWV Diff (%): 25.42, Std Dev: 26.99
Delta_T: -1098 min, Count: 472, Mean PWV Diff (%): 24.43, Std Dev: 27.18
Delta_T: -1093 min, Count: 470, Mean PWV Diff (%): 24.65, Std Dev: 27.30
Delta_T: -1087 min, Count: 482, Mean PWV Diff (%): 24.90, Std Dev: 28.50
Delta_T: -1078 min, Count: 467, Mean PWV Diff (%): 24.68, Std Dev: 27.27
Delta_T: -1073 min, Count: 472, Mean PWV Diff (%): 25.65, Std Dev: 28.40
Delta_T: -1068 min, Count: 467, Mean PWV Diff (%): 23.40, Std Dev: 26.42
Delta_T: -1063 min, Count: 473, Mean PWV Diff (%): 24.16, Std Dev: 27.61
Delta_T: -1058 min, Count: 472, Mean PWV Diff (%): 24.05, Std Dev: 26.90
Delta_T: -1053 min, Count: 472, Mean PWV Diff (%): 24.15, Std Dev: 26.68
Delta_T: -1048 min, Count: 473, Mean PWV Diff (%): 25.84, Std Dev: 27.55
Delta_T: -1043 min, Count: 470, Mean PWV Diff (%): 23.81, Std Dev: 26.57
Delta_T: -1038 min, Count: 469, Mean PWV Diff (%): 24.06, Std Dev: 25.69
Delta_T: -1033 min, Count: 475, Mean PWV Diff (%): 24.61, Std Dev: 26.51
Delta_T: -1028 min, Count: 470, Mean PWV Diff (%): 24.49, Std Dev: 26.48
Delta_T: -1018 min, Count: 472, Mean PWV Diff (%): 24.34, Std Dev: 26.06
Delta_T: -1013 min, Count: 480, Mean PWV Diff (%): 23.71, Std Dev: 26.62
Delta_T: -1008 min, Count: 481, Mean PWV Diff (%): 23.86, Std Dev: 26.51
Delta_T: -1003 min, Count: 473, Mean PWV Diff (%): 24.45, Std Dev: 25.70
Delta_T: -998 min, Count: 475, Mean PWV Diff (%): 24.12, Std Dev: 25.37
Delta_T: -993 min, Count: 468, Mean PWV Diff (%): 24.03, Std Dev: 25.66
Delta_T: -988 min, Count: 475, Mean PWV Diff (%): 24.38, Std Dev: 26.59
Delta_T: -983 min, Count: 478, Mean PWV Diff (%): 24.87, Std Dev: 26.69
Delta_T: -978 min, Count: 476, Mean PWV Diff (%): 25.30, Std Dev: 25.59
Delta_T: -973 min, Count: 471, Mean PWV Diff (%): 25.14, Std Dev: 25.17
Delta_T: -968 min, Count: 476, Mean PWV Diff (%): 24.84, Std Dev: 26.31
Delta_T: -898 min, Count: 474, Mean PWV Diff (%): 24.76, Std Dev: 24.17
Delta_T: -893 min, Count: 481, Mean PWV Diff (%): 23.86, Std Dev: 25.64
Delta_T: -888 min, Count: 487, Mean PWV Diff (%): 24.47, Std Dev: 25.90
Delta_T: -883 min, Count: 478, Mean PWV Diff (%): 24.48, Std Dev: 24.91
Delta_T: -878 min, Count: 469, Mean PWV Diff (%): 24.31, Std Dev: 23.42
Delta_T: -873 min, Count: 480, Mean PWV Diff (%): 24.20, Std Dev: 25.59
Delta_T: -868 min, Count: 477, Mean PWV Diff (%): 24.07, Std Dev: 24.95
Delta_T: -863 min, Count: 472, Mean PWV Diff (%): 24.93, Std Dev: 23.33
Delta_T: -858 min, Count: 478, Mean PWV Diff (%): 25.44, Std Dev: 24.46
Delta_T: -853 min, Count: 481, Mean PWV Diff (%): 24.09, Std Dev: 25.07
Delta_T: -848 min, Count: 473, Mean PWV Diff (%): 23.15, Std Dev: 23.11
Delta_T: -838 min, Count: 469, Mean PWV Diff (%): 23.94, Std Dev: 22.90
Delta_T: -833 min, Count: 472, Mean PWV Diff (%): 25.08, Std Dev: 23.07
Delta_T: -828 min, Count: 467, Mean PWV Diff (%): 23.28, Std Dev: 21.89
Delta_T: -823 min, Count: 482, Mean PWV Diff (%): 24.94, Std Dev: 24.27
Delta_T: -818 min, Count: 463, Mean PWV Diff (%): 25.28, Std Dev: 21.63
Delta_T: -813 min, Count: 474, Mean PWV Diff (%): 25.03, Std Dev: 22.90
Delta_T: -808 min, Count: 476, Mean PWV Diff (%): 25.90, Std Dev: 23.06
Delta_T: -803 min, Count: 478, Mean PWV Diff (%): 25.39, Std Dev: 23.14
Delta_T: -798 min, Count: 478, Mean PWV Diff (%): 25.08, Std Dev: 22.34
Delta_T: -793 min, Count: 476, Mean PWV Diff (%): 24.47, Std Dev: 22.59
Delta_T: -788 min, Count: 477, Mean PWV Diff (%): 23.78, Std Dev: 23.44
Delta_T: -778 min, Count: 221, Mean PWV Diff (%): 26.17, Std Dev: 19.24
Delta_T: -773 min, Count: 224, Mean PWV Diff (%): 26.93, Std Dev: 20.03
Delta_T: -768 min, Count: 222, Mean PWV Diff (%): 27.38, Std Dev: 21.32
Delta_T: -763 min, Count: 218, Mean PWV Diff (%): 28.07, Std Dev: 19.92
Delta_T: -758 min, Count: 227, Mean PWV Diff (%): 26.75, Std Dev: 19.85
Delta_T: -753 min, Count: 219, Mean PWV Diff (%): 27.90, Std Dev: 19.68
Delta_T: -748 min, Count: 218, Mean PWV Diff (%): 27.88, Std Dev: 20.01
Delta_T: -743 min, Count: 219, Mean PWV Diff (%): 27.98, Std Dev: 18.97
Delta_T: -738 min, Count: 220, Mean PWV Diff (%): 26.95, Std Dev: 19.41
Delta_T: -733 min, Count: 224, Mean PWV Diff (%): 25.29, Std Dev: 19.36
Delta_T: -728 min, Count: 223, Mean PWV Diff (%): 26.29, Std Dev: 19.82
Delta_T: -658 min, Count: 476, Mean PWV Diff (%): 23.28, Std Dev: 19.73
Delta_T: -653 min, Count: 473, Mean PWV Diff (%): 22.96, Std Dev: 19.64
Delta_T: -648 min, Count: 481, Mean PWV Diff (%): 23.69, Std Dev: 21.31
Delta_T: -643 min, Count: 482, Mean PWV Diff (%): 24.51, Std Dev: 21.35
Delta_T: -638 min, Count: 483, Mean PWV Diff (%): 23.49, Std Dev: 21.03
Delta_T: -633 min, Count: 474, Mean PWV Diff (%): 23.44, Std Dev: 19.74
Delta_T: -628 min, Count: 481, Mean PWV Diff (%): 24.10, Std Dev: 19.77
Delta_T: -623 min, Count: 477, Mean PWV Diff (%): 23.89, Std Dev: 19.50
Delta_T: -618 min, Count: 478, Mean PWV Diff (%): 23.91, Std Dev: 19.52
Delta_T: -613 min, Count: 477, Mean PWV Diff (%): 23.53, Std Dev: 19.17
Delta_T: -608 min, Count: 477, Mean PWV Diff (%): 23.14, Std Dev: 18.46
Delta_T: -598 min, Count: 484, Mean PWV Diff (%): 24.19, Std Dev: 19.83
Delta_T: -593 min, Count: 487, Mean PWV Diff (%): 23.36, Std Dev: 20.53
Delta_T: -588 min, Count: 487, Mean PWV Diff (%): 23.79, Std Dev: 20.35
Delta_T: -583 min, Count: 477, Mean PWV Diff (%): 23.75, Std Dev: 19.15
Delta_T: -578 min, Count: 487, Mean PWV Diff (%): 24.31, Std Dev: 20.08
Delta_T: -573 min, Count: 489, Mean PWV Diff (%): 23.98, Std Dev: 19.65
Delta_T: -568 min, Count: 485, Mean PWV Diff (%): 23.94, Std Dev: 19.45
Delta_T: -563 min, Count: 484, Mean PWV Diff (%): 24.07, Std Dev: 19.13
Delta_T: -557 min, Count: 483, Mean PWV Diff (%): 23.89, Std Dev: 18.66
Delta_T: -552 min, Count: 479, Mean PWV Diff (%): 23.31, Std Dev: 18.31
Delta_T: -547 min, Count: 486, Mean PWV Diff (%): 23.71, Std Dev: 18.53
Delta_T: -538 min, Count: 480, Mean PWV Diff (%): 24.12, Std Dev: 17.88
Delta_T: -533 min, Count: 489, Mean PWV Diff (%): 24.31, Std Dev: 18.44
Delta_T: -528 min, Count: 490, Mean PWV Diff (%): 23.50, Std Dev: 18.09
Delta_T: -523 min, Count: 489, Mean PWV Diff (%): 24.75, Std Dev: 17.84
Delta_T: -518 min, Count: 488, Mean PWV Diff (%): 24.03, Std Dev: 17.78
Delta_T: -513 min, Count: 487, Mean PWV Diff (%): 23.74, Std Dev: 17.77
Delta_T: -508 min, Count: 486, Mean PWV Diff (%): 23.58, Std Dev: 17.48
Delta_T: -503 min, Count: 485, Mean PWV Diff (%): 24.09, Std Dev: 17.32
Delta_T: -498 min, Count: 480, Mean PWV Diff (%): 24.06, Std Dev: 16.99
Delta_T: -493 min, Count: 493, Mean PWV Diff (%): 24.01, Std Dev: 17.67
Delta_T: -488 min, Count: 488, Mean PWV Diff (%): 23.74, Std Dev: 17.48
Delta_T: -418 min, Count: 489, Mean PWV Diff (%): 24.22, Std Dev: 16.92
Delta_T: -413 min, Count: 481, Mean PWV Diff (%): 24.06, Std Dev: 15.90
Delta_T: -408 min, Count: 494, Mean PWV Diff (%): 23.92, Std Dev: 16.41
Delta_T: -403 min, Count: 490, Mean PWV Diff (%): 23.80, Std Dev: 16.86
Delta_T: -398 min, Count: 479, Mean PWV Diff (%): 24.04, Std Dev: 15.06
Delta_T: -393 min, Count: 485, Mean PWV Diff (%): 24.29, Std Dev: 15.13
Delta_T: -388 min, Count: 485, Mean PWV Diff (%): 24.25, Std Dev: 15.30
Delta_T: -383 min, Count: 484, Mean PWV Diff (%): 24.68, Std Dev: 14.88
Delta_T: -378 min, Count: 492, Mean PWV Diff (%): 24.62, Std Dev: 15.48
Delta_T: -373 min, Count: 480, Mean PWV Diff (%): 24.16, Std Dev: 14.31
Delta_T: -367 min, Count: 489, Mean PWV Diff (%): 23.67, Std Dev: 14.91
Delta_T: -358 min, Count: 487, Mean PWV Diff (%): 24.69, Std Dev: 14.32
Delta_T: -353 min, Count: 488, Mean PWV Diff (%): 23.69, Std Dev: 14.31
Delta_T: -348 min, Count: 491, Mean PWV Diff (%): 24.23, Std Dev: 14.62
Delta_T: -343 min, Count: 495, Mean PWV Diff (%): 24.45, Std Dev: 15.02
Delta_T: -338 min, Count: 493, Mean PWV Diff (%): 24.35, Std Dev: 14.54
Delta_T: -333 min, Count: 490, Mean PWV Diff (%): 24.21, Std Dev: 14.21
Delta_T: -328 min, Count: 490, Mean PWV Diff (%): 23.73, Std Dev: 13.58
Delta_T: -323 min, Count: 485, Mean PWV Diff (%): 24.06, Std Dev: 13.00
Delta_T: -318 min, Count: 489, Mean PWV Diff (%): 23.98, Std Dev: 12.93
Delta_T: -313 min, Count: 493, Mean PWV Diff (%): 23.81, Std Dev: 13.15
Delta_T: -308 min, Count: 491, Mean PWV Diff (%): 23.53, Std Dev: 13.05
Delta_T: -298 min, Count: 497, Mean PWV Diff (%): 23.57, Std Dev: 13.47
Delta_T: -293 min, Count: 493, Mean PWV Diff (%): 23.90, Std Dev: 12.89
Delta_T: -288 min, Count: 497, Mean PWV Diff (%): 23.85, Std Dev: 12.84
Delta_T: -283 min, Count: 490, Mean PWV Diff (%): 23.89, Std Dev: 12.21
Delta_T: -278 min, Count: 498, Mean PWV Diff (%): 24.25, Std Dev: 12.80
Delta_T: -273 min, Count: 495, Mean PWV Diff (%): 24.36, Std Dev: 12.28
Delta_T: -268 min, Count: 493, Mean PWV Diff (%): 24.07, Std Dev: 11.66
Delta_T: -263 min, Count: 497, Mean PWV Diff (%): 23.78, Std Dev: 12.07
