TIME, am_PWV(um), balloon_PWV(um) 
2024-01-27 11:01:36, 847.433, 680.0 
2024-01-27 11:06:38, 848.824, 680.0 
2024-01-27 11:11:41, 850.051, 680.0 
2024-01-27 11:16:43, 852.931, 680.0 
2024-01-27 11:21:45, 854.321, 680.0 
2024-01-27 11:26:48, 857.119, 680.0 
2024-01-27 11:31:50, 857.543, 680.0 
2024-01-27 11:36:53, 857.628, 680.0 
2024-01-27 11:41:55, 860.437, 680.0 
2024-01-27 11:46:57, 859.132, 680.0 
2024-01-27 11:52:00, 853.427, 680.0 
2024-01-27 11:01:36, 847.433, 680.0 
2024-01-27 11:06:38, 848.824, 680.0 
2024-01-27 11:11:41, 850.051, 680.0 
2024-01-27 11:16:43, 852.931, 680.0 
2024-01-27 11:21:45, 854.321, 680.0 
2024-01-27 11:26:48, 857.119, 680.0 
2024-01-27 11:31:50, 857.543, 680.0 
2024-01-27 11:36:53, 857.628, 680.0 
2024-01-27 11:41:55, 860.437, 680.0 
2024-01-27 11:46:57, 859.132, 680.0 
2024-01-27 11:52:00, 853.427, 680.0 
