T_mid,T0_ave,T1_ave,T2_ave,T3_ave
2025-01-02 01:11:49.953715,161.21514070033282,91.6553817152989,49.92610403299532,36.877421116826405
2025-01-02 01:22:04.359759,158.267104172725,89.40736975669907,48.78118433952375,36.06300365328859
2025-01-02 01:32:18.766506,155.94513592720313,87.6756383180622,47.82639192342922,35.37278109789078
2025-01-02 01:42:33.179346,155.02282350063905,87.10601066351047,47.55654270053047,35.22413736582125
2025-01-02 01:52:47.585208,154.12797863485,86.54257918596156,47.29815559983281,35.111465388538434
2025-01-02 01:56:36.065059,153.7451712343488,86.26798562442563,47.13757019683571,34.953416471722264
2025-01-02 02:11:49.714923,152.559507536875,85.51073367595812,46.79731488227891,34.65590224266157
2025-01-02 02:22:04.121943,153.11079812048123,85.96465001106313,47.058977109192654,34.80882800221296
2025-01-02 02:32:18.530152,153.16275708676093,85.9873319387425,47.00053088068922,34.73864413500094
2025-01-02 02:42:32.939080,152.6965974092297,85.71537934541735,46.883658355475475,34.67507904172031
2025-01-02 02:52:47.345976,151.35214056968437,84.8204884171486,46.42356653213609,34.37575561404485
2025-01-02 02:56:35.827338,150.16440383529826,84.02325945942397,46.07042456875336,33.98252453523656
2025-01-02 03:11:49.522003,150.79724235534687,84.73884093761546,46.44095649123157,34.473142993450935
2025-01-02 03:22:03.929145,150.21825239659375,84.47222771644422,46.34844532012875,34.48367096185656
2025-01-02 03:32:18.338900,150.11021583080156,84.40966579913984,46.3379410564875,34.489534246919845
2025-01-02 03:42:32.746782,150.92299194334845,85.10219448804921,46.720668894054846,34.83994330167656
2025-01-02 03:52:47.152224,152.97059926988283,86.6422480702389,47.55316172838157,35.45269758701219
2025-01-02 03:56:35.633878,154.15201664774372,87.48787201953276,47.97723403097268,35.6182828790979
2025-01-02 05:11:49.376553,153.9279814004953,87.24750843048047,47.86362139582625,35.45967505574141
2025-01-02 05:22:03.781619,154.48623368739064,87.85014610290686,48.20993135571406,35.70379910468953
2025-01-02 05:32:18.192683,156.65747184753596,89.57804890871063,49.15844594240203,36.421165245772656
2025-01-02 05:42:32.599324,159.71407315729374,91.7269817590711,50.29181232452485,37.310418349504374
2025-01-02 05:52:47.008843,161.35957422256405,92.95683401822876,50.95270513296203,37.66551347970953
2025-01-02 05:56:35.486667,161.1805877685504,92.87999456069159,50.861172844384875,37.58543617184203
2025-01-02 06:11:49.183934,162.16132991311875,93.77193673849062,51.46445258855829,38.08953662514843
2025-01-02 06:22:03.590296,162.84885663985315,94.40437710285156,51.83762794137016,38.42143847346406
2025-01-02 06:32:17.997959,163.1366402149125,94.72469580173406,52.048250317574684,38.61873322129047
2025-01-02 06:42:32.405161,163.1294824123375,94.81245781183375,52.073968219755,38.68077840209047
2025-01-02 06:52:46.811653,163.83736112116875,95.39532033205235,52.39216529727078,38.878224837780465
2025-01-02 06:56:35.292223,164.15115106403783,95.6420391307147,52.51645617124706,38.88832882472395
2025-01-02 07:11:49.994491,164.7455226898109,96.13319203853546,52.84025853872437,39.185459303855936
2025-01-02 07:22:04.401091,164.1578992843625,95.72011480331469,52.65630729198391,39.08380370736031
2025-01-02 07:32:18.807651,161.77540252210315,94.10237221717844,51.77942900657531,38.45045652389656
2025-01-02 07:42:33.216689,158.36663434503595,91.74226411581094,50.50694203376813,37.675460314750936
2025-01-02 07:52:47.628171,158.50805473328282,91.91518788337672,50.65747645497172,37.7119393646725
2025-01-02 07:56:36.107427,160.46872422672692,93.25172340970084,51.37505270052227,38.10545442084496
2025-01-02 09:11:49.845875,172.89932615759218,102.9434149026844,56.72875661253626,42.040598392487496
2025-01-02 09:22:04.254304,173.31660504340783,103.28257684708282,56.91604828238312,42.19560432433891
2025-01-02 09:32:18.661090,175.91302926538594,105.49755330086093,58.20682919621563,43.078496658800475
2025-01-02 09:42:33.072135,179.25317378044062,108.3547243476,59.83953689932656,44.189749050139376
2025-01-02 09:52:47.479160,181.394074368475,110.21089320183594,60.90882877111562,44.981058669087965
2025-01-02 09:56:35.958766,182.0560820123025,110.72564383113864,61.18170773482395,45.07611749152269
2025-01-02 10:11:49.605609,182.29836046696565,110.98848946094843,61.3562351346025,45.25881694555359
2025-01-02 10:22:04.012832,182.08025152683595,110.78650171758125,61.25085499286579,45.262248033285154
2025-01-02 10:32:18.421514,181.45820777416247,110.25569728609688,60.97581207156047,44.971773827074685
2025-01-02 10:42:32.825329,181.07806844711405,109.94258297681407,60.776404643061404,44.85565060973156
2025-01-02 10:52:47.237632,179.7583132267047,108.73548971412342,60.06546797752501,44.24266487955781
2025-01-02 10:56:35.716201,179.57496784113027,108.55757490525629,59.92125315626639,44.14167319225588
2025-01-02 11:11:49.456134,179.86359329225,108.91286377904687,60.204280883072656,44.41232110857797
2025-01-02 11:22:03.867666,178.71419076919062,107.99126275777344,59.69686396717922,44.01767224073562
2025-01-02 11:32:18.271757,178.10904693603592,107.47149572371563,59.38228760361562,43.76606621146094
2025-01-02 11:42:32.680046,177.25428037643906,106.70186454059845,58.91144075989562,43.439519715309686
2025-01-02 11:52:47.087691,177.3883965730594,106.8579102516203,59.02716299891515,43.551061207055625
2025-01-02 11:56:35.571280,177.41934178455463,106.77840612715968,58.93492235456303,43.379743495911356
2025-01-02 13:11:49.261024,163.9099848747125,94.99992415905173,52.11460986733407,38.55220599174531
2025-01-02 13:22:03.673074,167.35113072395157,97.77787624597548,53.61844487190125,39.63798667192579
2025-01-02 13:32:18.080226,169.28636255263905,99.50217121840626,54.63557096719734,40.40571723580469
