# WVR data file, version 2017-12-05
#As Scanning Observation 
#
TIME TIMEWVR HOT_TEMP HOT_SETP HOT_PWM COLD_TEMP COLD_SETP COLD_PWM CHOP_PWM CHOP_CURR TP_TEMP TP_SETP BE_TEMP BE_SETP BE_PWM CS_TEMP CS_SETP CS_PWM LNA_TEMP TSRC0 TSRC1 TSRC2 TSRC3 EL AZ
2024-01-10T13:01:35.746796 93.5520019531 363.156402588 363.149993896 30.859375 283.154663086 283.149993896 33.59375 8.59375 0.0125425579026 296.665679932 294.149993896 311.636352539 312.149993896 49.609375 304.247039795 304.149993896 38.671875 307.614318848 193.28944397 120.445480347 66.4499359131 48.9253349304 55.0 2.625
2024-01-10T13:01:36.829338 94.65599823 363.141723633 363.149993896 31.640625 283.149597168 283.149993896 33.203125 8.59375 0.0270434133708 296.671325684 294.149993896 311.612609863 312.149993896 51.953125 304.240447998 304.149993896 38.28125 307.602355957 193.224807739 120.673812866 66.478187561 49.2852554321 55.0 14.4
2024-01-10T13:01:37.795343 95.6159973145 363.150756836 363.149993896 31.25 283.138122559 283.149993896 32.421875 8.59375 0.0606856830418 296.680236816 294.149993896 311.61114502 312.149993896 51.953125 304.229156494 304.149993896 34.375 307.615966797 193.329986572 120.509658813 66.6625137329 49.12758255 55.0 26.175
2024-01-10T13:01:38.756239 96.5759963989 363.145690918 363.149993896 31.640625 283.144805908 283.149993896 32.8125 8.59375 0.0186385400593 296.684875488 294.149993896 311.614074707 312.149993896 51.953125 304.231506348 304.149993896 35.15625 307.608459473 193.340286255 120.640579224 66.8039321899 49.462146759 55.0 37.875
2024-01-10T13:01:39.716574 97.5360031128 363.158813477 363.149993896 30.859375 283.165313721 283.149993896 33.984375 8.203125 0.0575005300343 296.67199707 294.149993896 311.626464844 312.149993896 50.78125 304.257507324 304.149993896 40.625 307.616882324 193.225418091 120.770614624 66.8665618896 49.482963562 55.0 49.575
2024-01-10T13:01:40.677653 98.4960021973 363.161437988 363.149993896 30.859375 283.143249512 283.149993896 32.8125 8.59375 0.0488899238408 296.664794922 294.149993896 311.627990723 312.149993896 50.78125 304.237518311 304.149993896 36.328125 307.628662109 193.278656006 120.558982849 66.8239593506 49.6809768677 55.0 61.275
2024-01-10T13:01:41.638522 99.4560012817 363.153381348 363.149993896 31.25 283.150238037 283.149993896 33.203125 8.59375 0.0400735847652 296.674133301 294.149993896 311.621887207 312.149993896 51.171875 304.245178223 304.149993896 37.890625 307.613708496 193.500350952 120.794715881 67.1255722046 49.8639335632 55.0 72.975
2024-01-10T13:01:42.594158 100.416000366 363.148620605 363.149993896 31.25 283.147247314 283.149993896 33.203125 8.59375 0.0349301099777 296.686950684 294.149993896 311.615142822 312.149993896 51.953125 304.23550415 304.149993896 36.71875 307.600616455 193.811981201 120.982032776 67.1950836182 49.8543586731 55.0 84.6
2024-01-10T13:01:43.556013 101.375999451 363.146087646 363.149993896 31.640625 283.160797119 283.149993896 33.59375 8.59375 0.0183947086334 296.677459717 294.149993896 311.603759766 312.149993896 52.734375 304.248718262 304.149993896 38.671875 307.608917236 193.934082031 121.267623901 67.2957077026 49.8850784302 55.0 96.3
2024-01-10T13:01:44.517487 102.335998535 363.143371582 363.149993896 31.640625 283.146697998 283.149993896 33.203125 8.203125 0.0888035073876 296.682067871 294.149993896 311.636901855 312.149993896 50.78125 304.232391357 304.149993896 36.71875 307.60446167 193.894989014 121.062965393 67.1044769287 49.9470024109 55.0 108.0
