pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 682.0, 2835,-25.3,-28.9,-26.1, 72, 92, 0.52,345, 4.6
 681.0, 2846,-24.3,-26.5,-23.9, 82,104, 0.65,343, 4.8
 668.0, 2986,-24.7,-26.7,-24.0, 84,107, 0.65,315, 7.7
 627.0, 3447,-26.1,-27.2,-24.5, 90,117, 0.66,313, 7.9
 567.0, 4170,-28.4,-30.5,-27.6, 82,108, 0.53,310, 8.2
 554.0, 4337,-28.9,-31.3,-28.3, 80,106, 0.51,295, 8.2
 531.0, 4642,-29.9,-32.7,-29.7, 77,103, 0.46,297, 8.0
 500.0, 5070,-31.9,-35.0,-31.8, 74,101, 0.39,300, 7.7
 468.0, 5531,-34.6,-38.2,-34.8, 69, 97, 0.30,305, 7.2
 444.0, 5898,-36.7,-40.8,-37.3, 66, 94, 0.24,305, 5.7
 411.0, 6426,-41.1,-43.1,-39.5, 81,121, 0.21,305, 3.4
 401.0, 6593,-41.7,-46.4,-42.6, 60, 90, 0.15,305, 2.6
 400.0, 6610,-41.9,-46.5,-42.7, 61, 91, 0.15,305, 2.6
 301.0, 8479,-56.7,-58.6,-54.4, 79,135, 0.05,270, 2.1
 300.0, 8500,-56.9,-59.3,-55.1, 74,127, 0.04,270, 2.1
 293.0, 8648,-57.7,-60.0,-55.8, 75,129, 0.04,260, 1.5
 278.0, 8978,-59.5,-61.6,-57.4, 76,133, 0.03,245, 2.6
 269.0, 9183,-59.5,-61.7,-57.5, 75,131, 0.04,237, 3.2
 264.0, 9300,-59.7,-67.7,-63.4, 34, 60, 0.02,233, 3.6
 250.0, 9640,-59.1,-71.1,-66.8, 20, 34, 0.01,220, 4.6
 226.0,10275,-56.7,-77.6,-73.3,  6,  9, 0.00,205, 5.7
 218.0,10502,-55.9,-79.9,-75.7,  3,  6, 0.00,215, 6.2
 200.0,11050,-54.7,-82.7,-78.5,  2,  3, 0.00,205, 6.2
 186.0,11517,-53.9,-83.4,-79.3,  2,  3, 0.00,195, 7.7
 176.0,11872,-53.3,-83.9,-79.8,  1,  2, 0.00,205, 6.7
 154.0,12731,-51.8,-85.2,-81.1,  1,  1, 0.00,180, 8.2
 150.0,12900,-51.5,-85.5,-81.4,  1,  1, 0.00,190, 5.7
 149.0,12944,-51.4,-85.5,-81.4,  1,  1, 0.00,190, 5.7
 137.0,13497,-50.2,-85.3,-81.2,  1,  1, 0.00,165, 6.2
 131.0,13792,-49.5,-85.2,-81.1,  1,  1, 0.00,180, 8.2
 106.0,15186,-46.4,-84.6,-80.5,  1,  1, 0.00,170, 9.8
 100.0,15570,-45.5,-84.5,-80.4,  0,  1, 0.00,155,10.8
  76.0,17424,-41.5,-82.0,-77.9,  0,  1, 0.01,130, 9.8
  70.0,17980,-40.3,-81.3,-77.1,  0,  1, 0.01,130,10.3
  63.0,18703,-39.2,-80.5,-76.3,  0,  1, 0.01,135,11.8
  57.0,19390,-38.1,-79.7,-75.5,  0,  1, 0.01,120,11.3
  54.0,19762,-37.5,-79.3,-75.1,  0,  1, 0.01,145, 7.7
  51.0,20154,-36.9,-78.9,-74.6,  0,  1, 0.02,125, 9.3
  50.0,20290,-36.7,-78.7,-74.5,  0,  1, 0.02,135, 7.2
  49.0,20431,-36.4,-78.6,-74.3,  0,  1, 0.02,160, 7.7
  43.0,21341,-34.4,-77.6,-73.3,  0,  1, 0.02,135,10.8
  39.0,22022,-32.9,-76.9,-72.6,  0,  1, 0.03,131, 6.3
  38.0,22205,-32.8,-76.8,-72.5,  0,  1, 0.03,130, 5.2
  37.0,22392,-32.6,-76.6,-72.3,  0,  1, 0.03,155, 7.7
  34.0,22988,-32.2,-76.2,-71.9,  0,  1, 0.04,165, 6.2
  33.0,23199,-32.0,-76.0,-71.7,  0,  1, 0.04,145, 5.7
  32.0,23415,-31.8,-75.8,-71.6,  0,  1, 0.04,170, 3.6
  30.0,23870,-31.5,-75.5,-71.2,  0,  1, 0.05,210, 6.7
  29.0,24112,-31.2,-75.3,-71.1,  0,  1, 0.05,175, 8.8
  27.0,24621,-30.5,-75.0,-70.7,  0,  1, 0.05,195, 8.2
  26.0,24890,-30.1,-74.9,-70.6,  0,  1, 0.06,180,13.4
  24.0,25461,-29.4,-74.5,-70.2,  0,  1, 0.07,160,11.3
  20.1,26725,-27.7,-73.7,-69.4,  0,  1, 0.09,141, 6.3
