pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 695.0, 2835,-33.1,-37.2,-33.9, 67, 92, 0.23, 15, 3.6
 694.0, 2845,-31.5,-35.1,-31.9, 70, 96, 0.28, 13, 3.6
 692.0, 2865,-33.1,-36.2,-32.9, 74,102, 0.25, 10, 3.5
 683.0, 2957,-33.9,-36.7,-33.4, 76,106, 0.24,357, 3.1
 663.0, 3167,-29.5,-32.6,-29.6, 74, 99, 0.37,325, 2.1
 658.0, 3221,-29.7,-32.6,-29.6, 76,101, 0.38,317, 1.9
 629.0, 3540,-31.7,-34.9,-31.7, 73,100, 0.31,270, 0.5
 605.0, 3815,-33.5,-36.9,-33.6, 71, 99, 0.27,282, 2.7
 592.0, 3968,-30.9,-34.7,-31.5, 69, 94, 0.34,289, 4.0
 580.0, 4113,-30.8,-34.7,-31.5, 68, 92, 0.35,295, 5.2
 575.0, 4175,-30.7,-34.7,-31.5, 68, 92, 0.35,296, 5.3
 538.0, 4644,-32.1,-35.6,-32.4, 71, 97, 0.34,300, 6.2
 524.0, 4830,-32.7,-36.0,-32.8, 72, 99, 0.34,280, 6.2
 514.0, 4966,-33.1,-36.3,-33.0, 73,101, 0.33,280, 6.2
 500.0, 5160,-34.3,-36.9,-33.6, 77,108, 0.32,280, 6.2
 419.0, 6372,-43.2,-45.6,-41.8, 77,117, 0.15,280,12.9
 400.0, 6690,-45.5,-47.9,-44.0, 77,119, 0.13,275,13.4
 390.0, 6859,-46.5,-47.7,-43.8, 87,137, 0.13,273,13.9
 384.0, 6961,-47.3,-50.4,-46.4, 70,111, 0.10,272,14.3
 377.0, 7083,-48.3,-50.4,-46.4, 79,125, 0.10,271,14.6
 372.0, 7171,-48.9,-50.3,-46.4, 85,135, 0.10,270,14.9
 370.0, 7206,-49.1,-50.3,-46.3, 87,140, 0.10,270,14.9
 364.0, 7314,-49.7,-54.7,-50.6, 56, 89, 0.06,268,14.8
 337.0, 7815,-52.9,-56.1,-52.0, 68,113, 0.06,263,14.5
 304.0, 8476,-56.1,-62.1,-57.8, 47, 79, 0.03,256,14.0
 300.0, 8560,-55.9,-59.6,-55.4, 63,107, 0.04,255,13.9
 297.0, 8624,-56.3,-59.1,-54.9, 71,120, 0.04,255,13.4
 288.0, 8819,-57.3,-65.3,-61.0, 35, 61, 0.02,255,11.8
 286.0, 8863,-56.9,-66.4,-62.1, 29, 50, 0.02,250,11.3
 284.0, 8907,-56.5,-67.5,-63.2, 24, 40, 0.02,251,11.3
 263.0, 9395,-55.6,-73.0,-68.6, 10, 16, 0.01,260,11.3
 261.0, 9443,-55.5,-73.5,-69.2,  9, 15, 0.01,253,11.3
 254.0, 9618,-52.9,-77.1,-72.8,  4,  6, 0.00,230,11.3
 252.0, 9669,-52.1,-78.1,-73.8,  3,  5, 0.00,230,11.3
 250.0, 9720,-52.3,-78.3,-74.0,  3,  5, 0.00,230,11.3
 244.0, 9876,-52.6,-78.8,-74.6,  3,  5, 0.00,225, 7.2
 239.0,10009,-52.8,-79.3,-75.0,  3,  4, 0.00,205, 5.7
 228.0,10311,-53.3,-80.3,-76.1,  2,  4, 0.00,260, 8.8
 215.0,10690,-49.7,-81.6,-77.4,  1,  2, 0.00,235,10.3
 212.0,10781,-48.9,-81.9,-77.7,  1,  2, 0.00,243, 8.8
 208.0,10905,-49.4,-82.0,-77.8,  1,  2, 0.00,255, 6.7
 200.0,11160,-50.3,-82.3,-78.1,  1,  2, 0.00,235, 8.8
 190.0,11495,-50.5,-82.5,-78.3,  1,  2, 0.00,214, 9.6
 188.0,11565,-49.5,-82.3,-78.2,  1,  2, 0.00,210, 9.8
 185.0,11670,-48.1,-82.1,-77.9,  1,  2, 0.00,210, 8.7
 178.0,11924,-48.9,-82.4,-78.2,  1,  2, 0.00,210, 6.2
 171.0,12188,-49.7,-82.7,-78.5,  1,  2, 0.00,250, 5.2
 164.0,12463,-49.2,-82.8,-78.7,  1,  2, 0.00,240, 8.8
 157.0,12750,-48.7,-83.0,-78.8,  1,  1, 0.00,205, 6.2
 154.0,12877,-48.4,-83.0,-78.9,  1,  1, 0.00,215, 3.6
 152.0,12963,-48.3,-83.1,-78.9,  1,  1, 0.00,235, 5.7
 150.0,13050,-48.1,-83.1,-78.9,  1,  1, 0.00,230, 7.2
 147.0,13184,-47.7,-83.0,-78.8,  1,  1, 0.00,215, 9.3
 139.0,13555,-46.6,-82.7,-78.5,  1,  1, 0.00,235, 8.8
 131.0,13949,-45.3,-82.3,-78.1,  1,  1, 0.00,180, 7.7
 126.0,14207,-44.6,-82.1,-77.9,  1,  1, 0.00,220, 7.2
 122.0,14421,-43.9,-81.9,-77.7,  1,  1, 0.00,192, 7.6
 121.0,14476,-43.9,-81.9,-77.7,  1,  1, 0.00,185, 7.7
 119.0,14587,-44.0,-82.0,-77.8,  1,  1, 0.00,190, 6.2
 116.0,14758,-44.1,-82.1,-77.9,  1,  1, 0.00,225, 5.2
 112.0,14992,-44.2,-82.2,-78.1,  1,  1, 0.00,205, 6.7
 109.0,15174,-44.4,-82.4,-78.2,  1,  1, 0.00,215, 5.2
 106.0,15361,-44.5,-82.5,-78.3,  1,  1, 0.00,195, 7.7
 102.0,15618,-44.6,-82.6,-78.5,  1,  1, 0.00,230, 7.2
 100.0,15750,-44.7,-82.7,-78.5,  1,  1, 0.00,230,10.3
  97.0,15956,-44.1,-82.5,-78.3,  1,  1, 0.00,205, 8.2
  95.0,16098,-43.6,-82.3,-78.1,  1,  1, 0.00,210, 5.2
  89.0,16540,-42.3,-81.8,-77.6,  1,  1, 0.01,220, 5.7
  87.0,16694,-41.8,-81.6,-77.4,  1,  1, 0.01,205, 6.7
  85.0,16851,-41.4,-81.4,-77.2,  1,  1, 0.01,215, 9.3
