pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 683.0, 2835,-24.7,-28.3,-25.6, 72, 92, 0.55,320, 5.2
 660.0, 3082,-25.4,-28.8,-26.1, 73, 94, 0.54,295, 6.7
 628.0, 3440,-26.5,-29.6,-26.8, 75, 97, 0.52,310, 5.7
 585.0, 3951,-28.0,-30.8,-27.9, 77,101, 0.50,285, 5.2
 557.0, 4304,-29.0,-31.6,-28.6, 79,105, 0.49,250, 5.7
 545.0, 4461,-29.5,-31.9,-28.9, 80,106, 0.49,249, 5.7
 516.0, 4848,-32.5,-33.9,-30.7, 87,120, 0.42,245, 5.7
 514.0, 4876,-32.7,-34.0,-30.9, 88,121, 0.42,249, 5.6
 500.0, 5070,-32.9,-35.9,-32.6, 74,103, 0.36,280, 5.2
 496.0, 5126,-33.1,-36.1,-32.8, 74,103, 0.35,290, 6.2
 479.0, 5371,-33.9,-36.9,-33.6, 74,103, 0.34,277, 6.9
 471.0, 5487,-34.7,-37.8,-34.4, 74,104, 0.32,270, 7.2
 403.0, 6559,-42.5,-45.6,-41.9, 72,108, 0.16,255, 5.2
 400.0, 6610,-42.9,-46.0,-42.2, 71,108, 0.16,255, 5.2
 345.0, 7582,-50.1,-53.2,-49.2, 69,112, 0.08,205, 1.0
 315.0, 8179,-54.5,-57.7,-53.5, 68,113, 0.05,159, 1.7
 300.0, 8490,-56.5,-59.3,-55.1, 70,120, 0.04,135, 2.1
 276.0, 9017,-59.7,-62.3,-58.0, 71,125, 0.03,135, 3.6
 268.0, 9202,-59.1,-73.1,-68.8, 15, 26, 0.01,136, 3.9
 250.0, 9640,-58.1,-74.1,-69.8, 11, 19, 0.01,140, 4.6
 229.0,10194,-56.5,-78.0,-73.8,  5,  9, 0.00,140, 5.2
 209.0,10772,-54.9,-82.1,-77.9,  2,  4, 0.00,175, 5.2
 200.0,11050,-54.1,-84.1,-80.0,  1,  2, 0.00,165, 7.2
 195.0,11214,-53.8,-84.5,-80.4,  1,  2, 0.00,150, 6.2
 161.0,12452,-51.8,-87.9,-83.9,  1,  1, 0.00,160, 6.7
 157.0,12615,-51.6,-88.3,-84.3,  0,  1, 0.00,175, 6.7
 150.0,12910,-51.1,-89.1,-85.1,  0,  1, 0.00,175, 7.7
 146.0,13088,-50.7,-88.8,-84.8,  0,  1, 0.00,165, 6.7
 129.0,13903,-48.7,-87.5,-83.4,  0,  1, 0.00,170, 8.8
 126.0,14058,-48.3,-87.2,-83.2,  0,  1, 0.00,160, 7.2
 113.0,14775,-46.6,-86.0,-81.9,  0,  1, 0.00,175, 8.8
 107.0,15134,-45.8,-85.4,-81.3,  0,  1, 0.00,155, 9.8
 100.0,15580,-44.7,-84.7,-80.6,  0,  1, 0.00,170,10.8
  87.0,16524,-41.0,-82.2,-78.1,  0,  1, 0.01,160,10.8
  80.0,17092,-38.8,-80.7,-76.5,  0,  1, 0.01,180, 8.2
  79.8,17109,-38.7,-80.7,-76.5,  0,  1, 0.01,179, 8.4
  77.0,17355,-38.5,-80.5,-76.3,  0,  1, 0.01,160,10.8
  74.0,17628,-38.4,-80.4,-76.1,  0,  1, 0.01,175,11.3
  71.0,17912,-38.2,-80.2,-75.9,  0,  1, 0.01,140,11.8
  70.0,18010,-38.1,-80.1,-75.9,  0,  1, 0.01,140,10.8
  67.0,18311,-38.0,-80.0,-75.8,  0,  1, 0.01,160,10.8
  63.0,18733,-37.8,-79.8,-75.6,  0,  1, 0.01,140,10.3
  58.0,19301,-37.7,-79.7,-75.4,  0,  1, 0.01,155, 6.7
  57.0,19420,-37.6,-79.6,-75.4,  0,  1, 0.01,145, 6.2
  56.0,19542,-37.6,-79.6,-75.3,  0,  1, 0.01,140, 6.7
  53.0,19920,-37.4,-79.4,-75.2,  0,  1, 0.01,150, 9.3
  50.0,20320,-37.3,-79.3,-75.1,  0,  1, 0.01,140,10.3
  46.0,20896,-37.2,-79.2,-74.9,  0,  1, 0.02,130,12.4
  44.2,21172,-37.1,-79.1,-74.9,  0,  1, 0.02,103,10.0
  44.0,21204,-37.0,-79.1,-74.8,  0,  1, 0.02,100, 9.8
  42.0,21529,-36.4,-78.7,-74.5,  0,  1, 0.02,130, 6.7
  38.0,22228,-35.1,-77.9,-73.7,  0,  1, 0.02,150, 7.2
  36.0,22606,-34.5,-77.5,-73.2,  0,  1, 0.03,135, 6.7
  35.0,22803,-34.1,-77.3,-73.0,  0,  1, 0.03,160, 5.2
  34.0,23005,-33.7,-77.1,-72.8,  0,  1, 0.03,150, 3.6
  33.0,23214,-33.3,-76.8,-72.6,  0,  1, 0.03,175, 6.2
  32.0,23429,-32.9,-76.6,-72.3,  0,  1, 0.04,155, 7.7
  31.0,23651,-32.5,-76.4,-72.1,  0,  1, 0.04,155,10.8
  30.0,23880,-32.1,-76.1,-71.8,  0,  1, 0.04,160, 8.8
  29.0,24120,-31.9,-76.0,-71.7,  0,  1, 0.04,155, 8.2
  28.0,24368,-31.7,-75.9,-71.6,  0,  1, 0.05,175, 6.7
  27.0,24626,-31.4,-75.8,-71.6,  0,  1, 0.05,155, 6.7
  26.0,24893,-31.2,-75.8,-71.5,  0,  1, 0.05,180, 3.6
  25.0,25171,-30.9,-75.7,-71.4,  0,  1, 0.05,205,10.3
  23.4,25639,-30.5,-75.5,-71.2,  0,  1, 0.06,165,12.3
