# WVR data file, version 2017-12-05
#As Scanning Observation 
#
TIME TIMEWVR HOT_TEMP HOT_SETP HOT_PWM COLD_TEMP COLD_SETP COLD_PWM CHOP_PWM CHOP_CURR TP_TEMP TP_SETP BE_TEMP BE_SETP BE_PWM CS_TEMP CS_SETP CS_PWM LNA_TEMP TSRC0 TSRC1 TSRC2 TSRC3 EL AZ
2025-01-02T10:01:36.065966 93.5999984741 363.156188965 363.149993896 31.25 283.161224365 283.149993896 33.203125 8.59375 0.065631724894 296.262268066 294.149993896 311.61529541 312.149993896 51.953125 304.243133545 304.149993896 38.671875 307.320861816 181.948608398 110.443008423 60.9330863953 44.4331283569 55.0 2.625
2025-01-02T10:01:37.113511 94.65599823 363.158508301 363.149993896 31.25 283.148834229 283.149993896 32.03125 8.203125 -0.0119169475511 296.262573242 294.149993896 311.599487305 312.149993896 53.515625 304.222717285 304.149993896 33.203125 307.332336426 182.102386475 110.654029846 60.8740730286 44.464012146 55.0 13.95
2025-01-02T10:01:38.074122 95.6159973145 363.153900146 363.149993896 31.640625 283.147857666 283.149993896 32.421875 5.078125 0.0574936158955 296.266571045 294.149993896 311.600524902 312.149993896 53.90625 304.220489502 304.149993896 33.984375 307.314178467 181.967910767 110.651184082 61.2297554016 44.5697860718 55.0 25.65
2025-01-02T10:01:39.034203 96.5759963989 363.155303955 363.149993896 30.859375 283.140441895 283.149993896 31.640625 8.203125 0.0512375831604 296.258728027 294.149993896 311.621887207 312.149993896 51.5625 304.208831787 304.149993896 0.0 307.317199707 181.992996216 110.658653259 61.1733093262 44.6477584839 55.0 37.35
2025-01-02T10:01:39.994901 97.5360031128 363.157775879 363.149993896 31.25 283.152923584 283.149993896 32.421875 8.59375 0.00857322197407 296.273284912 294.149993896 311.628326416 312.149993896 50.78125 304.22769165 304.149993896 34.765625 307.314117432 181.710739136 110.684364319 61.2368392944 44.9256973267 55.0 49.05
2025-01-02T10:01:40.955938 98.4960021973 363.155944824 363.149993896 31.25 283.145965576 283.149993896 32.03125 8.59375 0.0351822376251 296.259033203 294.149993896 311.602722168 312.149993896 53.125 304.224609375 304.149993896 33.984375 307.325286865 181.966964722 110.726760864 61.340965271 44.9732246399 55.0 60.75
2025-01-02T10:01:41.916363 99.4560012817 363.146911621 363.149993896 31.640625 283.145202637 283.149993896 31.640625 5.46875 0.017275262624 296.265319824 294.149993896 311.588806152 312.149993896 54.296875 304.223449707 304.149993896 0.0 307.322418213 181.729782104 110.672958374 61.447013855 45.3362007141 55.0 72.45
2025-01-02T10:01:42.877719 100.416000366 363.140960693 363.149993896 31.640625 283.14755249 283.149993896 32.03125 8.203125 0.0385198108852 296.278747559 294.149993896 311.602050781 312.149993896 53.125 304.213928223 304.149993896 0.0 307.306335449 181.916671753 110.707847595 61.3718986511 45.4108352661 55.0 84.15
2025-01-02T10:01:43.838987 101.375999451 363.146820068 363.149993896 31.640625 283.144836426 283.149993896 31.640625 8.203125 0.0327971689403 296.266052246 294.149993896 311.621063232 312.149993896 51.171875 304.215484619 304.149993896 0.0 307.311431885 181.613433838 110.493759155 61.1596603394 45.3771591187 55.0 95.775
2025-01-02T10:01:44.795164 102.335998535 363.161315918 363.149993896 31.25 283.154724121 283.149993896 32.8125 8.59375 0.0446310266852 296.257446289 294.149993896 311.615234375 312.149993896 52.34375 304.23260498 304.149993896 36.71875 307.332580566 181.493499756 110.431808472 61.0904922485 45.4583435059 55.0 107.475
2025-01-02T10:01:45.757948 103.29599762 363.156921387 363.149993896 31.25 283.14352417 283.149993896 32.03125 8.203125 0.0144787076861 296.259185791 294.149993896 311.614196777 312.149993896 51.953125 304.224609375 304.149993896 33.984375 307.320373535 181.535324097 110.411087036 60.9915390015 45.0927009583 55.0 119.175
2025-01-02T10:01:46.718879 104.255996704 363.143005371 363.149993896 31.640625 283.150238037 283.149993896 32.421875 8.59375 0.0202622655779 296.264068604 294.149993896 311.592712402 312.149993896 54.296875 304.22769165 304.149993896 35.15625 307.320068359 181.577178955 110.258743286 60.6232795715 44.8510246277 55.0 130.8
2025-01-02T10:01:47.674663 105.216003418 363.15234375 363.149993896 31.640625 283.140960693 283.149993896 31.640625 8.59375 0.0184182878584 296.262207031 294.149993896 311.616149902 312.149993896 51.953125 304.213165283 304.149993896 0.0 307.317260742 181.581451416 110.162193298 60.5625724792 44.8230056763 55.0 142.5
2025-01-02T10:01:48.636843 106.176002502 363.154205322 363.149993896 31.25 283.162200928 283.149993896 33.203125 7.8125 0.0196603052318 296.269226074 294.149993896 311.627044678 312.149993896 51.171875 304.238433838 304.149993896 37.5 307.320800781 181.869262695 110.427734375 60.8734207153 44.7624816895 55.0 154.2
2025-01-02T10:01:49.598126 107.136001587 363.1534729 363.149993896 31.25 283.144348145 283.149993896 32.03125 8.59375 0.0450577959418 296.260681152 294.149993896 311.614929199 312.149993896 51.953125 304.223266602 304.149993896 0.0 307.318572998 181.965957642 110.446487427 60.672203064 44.8084106445 55.0 165.825
2025-01-02T10:01:50.554556 108.096000671 363.134796143 363.149993896 32.03125 283.153991699 283.149993896 32.8125 8.59375 0.0569068677723 296.271392822 294.149993896 311.603637695 312.149993896 53.515625 304.231994629 304.149993896 35.9375 307.296081543 182.159332275 110.766723633 61.0232620239 44.9227485657 55.0 177.525
2025-01-02T10:01:51.515866 109.055999756 363.14251709 363.149993896 31.640625 283.143890381 283.149993896 32.03125 8.203125 0.0292462818325 296.272918701 294.149993896 311.602233887 312.149993896 53.515625 304.212158203 304.149993896 0.0 307.298706055 182.220062256 111.031761169 61.0777053833 44.9939155579 55.0 189.225
2025-01-02T10:01:52.478398 110.01599884 363.151184082 363.149993896 31.25 283.152587891 283.149993896 32.8125 5.46875 0.0199651010334 296.271850586 294.149993896 311.616027832 312.149993896 52.34375 304.221618652 304.149993896 33.984375 307.322692871 182.490249634 111.215637207 61.4084091187 45.3538017273 55.0 200.85
2025-01-02T10:01:53.434191 110.975997925 363.157623291 363.149993896 31.25 283.154266357 283.149993896 32.421875 8.59375 0.080597423017 296.258636475 294.149993896 311.625854492 312.149993896 51.171875 304.229553223 304.149993896 33.984375 307.329742432 182.612060547 111.514122009 61.6463623047 45.4160232544 55.0 212.55
2025-01-02T10:01:54.397625 111.935997009 363.153320312 363.149993896 31.25 283.147644043 283.149993896 32.421875 8.203125 0.0309912450612 296.25894165 294.149993896 311.618499756 312.149993896 51.5625 304.221313477 304.149993896 33.203125 307.323913574 182.927749634 111.691467285 62.0770187378 45.6396560669 55.0 224.25
2025-01-02T10:01:55.354147 112.896003723 363.149475098 363.149993896 31.25 283.15423584 283.149993896 32.8125 8.59375 0.0382531173527 296.264953613 294.149993896 311.594268799 312.149993896 54.296875 304.234008789 304.149993896 36.328125 307.319030762 182.764419556 111.664710999 62.074420929 45.9222831726 55.0 235.875
