TIME,take TIME (seconds)
20250103S115248.635755E115636.155359,1.1664
read results/20250116_050134_scanAz_slow.txt,0.0054
20250116S050135.742592E051149.316235,1.1371
20250116S051150.277178E052203.729010,1.2241
20250116S052204.684981E053218.137976,1.3256
20250116S053219.094280E054232.541238,1.2992
20250116S054233.503703E055246.952524,1.3122
20250116S055247.914333E055635.433756,1.3163
read results/20250108_210134_scanAz_slow.txt,0.0054
20250108S210135.789851E211149.329580,1.2508
20250108S211150.290561E212203.739475,1.2918
20250108S212204.695463E213218.149161,1.2170
20250108S213219.106993E214232.556228,1.1985
20250108S214233.517692E215246.962804,1.2351
20250108S215247.924842E215635.445477,1.1734
read results/20250107_180135_scanAz_slow.txt,0.0054
20250107S180136.527349E181150.080636,1.1777
20250107S181151.038638E182204.488378,1.1843
20250107S182205.445575E183218.892159,1.2970
20250107S183219.856709E184233.300532,1.2104
20250107S184234.263591E185247.708693,1.2869
20250107S185248.672275E185636.192131,1.1657
read results/20250121_010134_scanAz_slow.txt,0.0054
20250121S010135.879396E011149.431118,1.1946
20250121S011150.388922E012203.835320,1.1887
20250121S012204.798902E013218.245116,1.2230
20250121S013219.207900E014232.651226,1.2043
20250121S014233.614882E015247.061223,1.1458
20250121S015248.019120E015635.543335,1.1502
read results/20250115_070135_scanAz_slow.txt,0.0054
20250115S070136.528327E071150.080523,1.4354
20250115S071151.041539E072204.487884,1.2040
20250115S072205.443877E073218.896013,1.2542
20250115S073219.857470E074233.302238,1.4198
20250115S074234.264139E075247.714143,1.1879
20250115S075248.670771E075636.193296,1.1910
read results/20250101_050134_scanAz_slow.txt,0.0054
20250101S050135.980246E051149.558409,1.2471
20250101S051150.520333E052203.968780,1.2704
20250101S052204.925755E053218.374571,1.1892
20250101S053219.336669E054232.780792,1.2691
20250101S054233.743612E055247.191016,1.2764
20250101S055248.153143E055635.672920,1.1425
read results/20250114_150134_scanAz_slow.txt,0.0054
20250114S150135.857106E151149.409325,1.3417
20250114S151150.370030E152203.816567,1.1540
20250114S152204.772257E153218.224129,1.2351
20250114S153219.186235E154232.634211,1.1883
20250114S154233.590625E155247.038142,1.1876
20250114S155248.000538E155635.521487,1.1472
read results/20250110_050135_scanAz_slow.txt,0.0054
20250110S050136.448817E051149.992267,1.1232
20250110S051150.952934E052204.401468,1.2967
20250110S052205.358732E053218.807318,1.1541
20250110S053219.768632E054233.218002,1.3194
20250110S054234.173718E055247.624384,1.1468
20250110S055248.586194E055636.106373,1.3352
read results/20250109_170135_scanAz_slow.txt,0.0054
20250109S170136.118692E171149.652647,1.1567
20250109S171150.614847E172204.063791,1.1355
20250109S172205.020985E173218.472343,1.2260
20250109S173219.430804E174232.879212,1.1377
20250109S174233.838637E175247.289690,1.1756
20250109S175248.247577E175635.767975,1.2224
read results/20250109_090135_scanAz_slow.txt,0.0054
20250109S090136.254501E091149.805398,1.3156
20250109S091150.767601E092204.213699,1.1879
20250109S092205.170638E093218.622541,1.2124
20250109S093219.581061E094233.030762,1.3154
20250109S094233.988052E095247.434713,1.3228
20250109S095248.398983E095635.918829,1.1929
read results/20250117_110135_scanAz_slow.txt,0.0054
20250117S110136.380621E111149.931587,1.2074
20250117S111150.890696E112204.340619,1.2373
20250117S112205.298193E113218.747316,1.1884
20250117S113219.704629E114233.158052,1.1780
20250117S114234.116819E115247.566605,1.1647
20250117S115248.520801E115636.044768,1.1824
read results/20250103_030134_scanAz_slow.txt,0.0054
20250103S030135.722268E031149.263463,1.1549
20250103S031150.226209E032203.675320,1.1768
20250103S032204.633111E033218.079824,1.2622
20250103S033219.043148E034232.491955,1.2462
20250103S034233.451338E035246.896859,1.1209
20250103S035247.860239E035635.379779,1.1963
read results/20250110_150135_scanAz_slow.txt,0.0054
20250110S150136.080468E151149.661265,1.2509
20250110S151150.622629E152204.067372,1.1332
20250110S152205.029727E153218.479770,1.1857
20250110S153219.436408E154232.883273,1.2852
20250110S154233.846386E155247.296537,1.1980
20250110S155248.252909E155635.774984,1.1419
read results/20250101_060134_scanAz_slow.txt,0.0054
20250101S060135.768722E061149.318154,1.2042
20250101S061150.279604E062203.727090,1.1443
20250101S062204.689001E063218.137557,1.1851
20250101S063219.093739E064232.545605,1.2080
20250101S064233.501413E065246.998416,1.2911
20250101S065247.959956E065635.482508,1.7453
read results/20250111_180135_scanAz_slow.txt,0.0054
20250111S180136.477370E181150.027305,1.3356
20250111S181150.989738E182204.433718,1.1301
20250111S182205.397102E183218.841347,1.3935
20250111S183219.805154E184233.252731,1.6610
20250111S184234.210124E185247.659110,1.1373
20250111S185248.622259E185636.142283,1.1600
read results/20250111_050135_scanAz_slow.txt,0.0054
20250111S050136.318320E051149.868092,1.2420
20250111S051150.829116E052204.280110,1.3086
20250111S052205.237674E053218.689927,1.2010
20250111S053219.646935E054233.094739,1.1217
20250111S054234.056609E055247.505347,1.2501
20250111S055248.462645E055635.985186,1.1669
read results/20250113_090135_scanAz_slow.txt,0.0054
20250113S090136.289212E091149.839490,1.1453
20250113S091150.801314E092204.247651,1.3373
20250113S092205.210309E093218.658894,1.5365
20250113S093219.617384E094233.063660,1.1873
20250113S094234.026658E095247.474240,1.2064
20250113S095248.431527E095635.953326,1.2159
read results/20250101_180135_scanAz_slow.txt,0.0054
20250101S180136.212773E181149.766376,1.2463
20250101S181150.723484E182204.169606,1.2759
20250101S182205.132930E183218.579597,1.3811
20250101S183219.542574E184232.988401,1.1695
20250101S184233.945967E185247.396425,1.2780
20250101S185248.359521E185635.877615,1.2238
read results/20250114_110135_scanAz_slow.txt,0.0054
20250114S110136.482818E111150.035407,1.2577
20250114S111150.991382E112204.441982,1.1470
20250114S112205.399810E113218.847598,1.1513
20250114S113219.812049E114233.260364,1.3082
20250114S114234.217581E115247.667687,1.1540
20250114S115248.624962E115636.148304,1.5812
read results/20250110_210135_scanAz_slow.txt,0.0054
20250110S210136.363676E211149.908483,1.1326
20250110S211150.869766E212204.313480,1.1605
20250110S212205.276879E213218.725026,1.1920
20250110S213219.686768E214233.133879,1.1386
20250110S214234.095443E215247.543116,1.1760
20250110S215248.500655E215636.023067,1.2070
read results/20250129_110126_scanAz_slow.txt,0.0077
20250129S110127.813279E111141.385490,1.2352
20250129S111142.346738E112155.796285,1.3568
20250129S112156.756578E113210.200542,1.5274
20250129S113211.161762E114224.611070,1.2058
20250129S114225.571094E115240.029933,1.1958
20250129S115240.989758E115627.552894,1.3698
read results/20250121_180135_scanAz_slow.txt,0.0054
20250121S180136.357806E181149.909949,1.1401
20250121S181150.866815E182204.317590,1.2465
20250121S182205.274760E183218.725735,1.2872
20250121S183219.682653E184233.134191,1.2937
20250121S184234.094208E185247.541417,1.2054
20250121S185248.498680E185636.022304,1.2091
read results/20250130_210134_scanAz_slow.txt,0.0077
20250130S210135.814973E211149.368684,1.1629
20250130S211150.324128E212203.775555,1.2071
20250130S212204.734074E213218.182332,1.2992
20250130S213219.140504E214232.590098,1.2206
20250130S214233.550179E215246.995827,1.2197
20250130S215247.958495E215635.481359,1.1738
read results/20250112_130134_scanAz_slow.txt,0.0053
20250112S130135.934645E131149.511163,1.2179
20250112S131150.466680E132203.915738,1.1492
20250112S132204.879408E133218.323757,1.1656
20250112S133219.286134E134232.734394,1.1248
20250112S134233.696215E135247.139178,1.1466
20250112S135248.100701E135635.622253,1.1810
read results/20250113_020135_scanAz_slow.txt,0.0054
20250113S020136.240442E021149.787838,1.1287
20250113S021150.750893E022204.197145,1.1965
20250113S022205.160449E023218.608398,1.1618
20250113S023219.565613E024233.013027,1.1471
20250113S024233.976764E025247.424244,1.1956
20250113S025248.381153E025635.904142,1.1401
read results/20250120_100134_scanAz_slow.txt,0.0054
20250120S100135.925687E101149.478051,1.2919
20250120S101150.434341E102203.886206,1.1373
20250120S102204.843199E103218.294101,1.1959
20250120S103219.251045E104232.701864,1.2188
20250120S104233.659147E105247.110056,1.2045
20250120S105248.066976E105635.591646,1.1158
read results/20250128_230121_scanAz_slow.txt,0.0076
20250128S230122.341209E231135.911950,1.2282
20250128S231136.872157E232150.321698,1.2971
20250128S232151.281541E233204.725379,1.2678
20250128S233205.685551E234219.137904,1.1546
20250128S234220.097792E235233.544900,1.1887
20250128S235234.502714E235622.029653,1.1307
read results/20250118_030135_scanAz_slow.txt,0.0054
20250118S030136.423169E031149.974859,1.1173
20250118S031150.931339E032204.378859,1.2440
20250118S032205.342123E033218.791512,1.1509
20250118S033219.748374E034233.195792,1.1536
20250118S034234.159083E035247.605057,1.1282
20250118S035248.568699E035636.089059,1.2454
read results/20250107_220134_scanAz_slow.txt,0.0053
20250107S220135.910365E221149.457512,1.2805
20250107S221150.418193E222203.862836,1.2136
20250107S222204.824970E223218.272459,1.1247
20250107S223219.234912E224232.682309,1.1420
20250107S224233.644213E225247.088523,1.1404
20250107S225248.050361E225635.571777,1.1582
read results/20250129_060114_scanAz_slow.txt,0.0077
20250129S060115.180190E061128.762285,1.1940
20250129S061129.722937E062143.172409,1.1893
20250129S062144.132650E063157.580482,1.3023
20250129S063158.536428E064211.988852,1.2680
20250129S064212.949510E065226.397184,1.1574
20250129S065227.356783E065614.875922,1.2182
read results/20250117_020134_scanAz_slow.txt,0.0054
20250117S020135.676139E021149.215836,1.2577
20250117S021150.177519E022203.624538,1.1941
20250117S022204.583598E023218.031625,1.2515
20250117S023218.988525E024232.441569,1.1773
20250117S024233.398749E025246.847627,1.1432
20250117S025247.804498E025635.329429,1.1199
read results/20250104_220134_scanAz_slow.txt,0.0054
20250104S220135.822046E221149.363585,1.2040
20250104S221150.324772E222203.773174,1.1438
20250104S222204.729814E223218.179801,1.1233
20250104S223219.141805E224232.586666,1.1691
20250104S224233.550079E225246.996649,1.1748
20250104S225247.958469E225635.478692,1.1565
read results/20250104_130135_scanAz_slow.txt,0.0054
20250104S130136.114978E131149.690537,1.3736
20250104S131150.651198E132204.098043,1.2317
20250104S132205.059849E133218.506202,1.2417
20250104S133219.467726E134232.914124,1.2043
20250104S134233.876311E135247.325555,1.2006
20250104S135248.283760E135635.803530,1.3266
read results/20250103_170134_scanAz_slow.txt,0.0053
20250103S170135.873700E171149.422015,1.1228
20250103S171150.384814E172203.833161,1.1584
20250103S172204.792206E173218.237238,1.1080
20250103S173219.201220E174232.649332,1.1288
20250103S174233.606230E175247.056733,1.1165
20250103S175248.013988E175635.536761,1.1818
read results/20250117_220135_scanAz_slow.txt,0.0054
20250117S220136.155283E221149.691662,1.1491
20250117S221150.653237E222204.100264,1.1745
20250117S222205.062328E223218.511925,1.1627
20250117S223219.467733E224232.919546,1.2324
20250117S224233.881574E225247.324678,1.1412
20250117S225248.286735E225635.808940,1.1206
read results/20250130_220114_scanAz_slow.txt,0.0078
20250130S220115.678470E221129.252516,1.2056
20250130S221130.213253E222143.658912,1.1569
20250130S222144.619639E223158.069919,1.2127
20250130S223159.029805E224212.478063,1.2033
20250130S224213.437749E225226.887899,1.1400
20250130S225227.844827E225615.369469,1.1259
read results/20250111_220134_scanAz_slow.txt,0.0054
20250111S220135.913275E221149.505900,1.1285
20250111S221150.462024E222203.914200,1.1595
20250111S222204.870495E223218.321172,1.1757
20250111S223219.283564E224232.727185,1.1752
20250111S224233.689252E225247.135638,1.2446
20250111S225248.097345E225635.619861,1.3208
read results/20250129_170134_scanAz_slow.txt,0.0076
20250129S170135.496052E171149.069897,1.2956
20250129S171150.029511E172203.475312,1.1867
20250129S172204.436371E173217.884640,1.1600
20250129S173218.846076E174232.292740,1.2022
20250129S174233.254354E175246.699451,1.2708
20250129S175247.661897E175635.181947,1.4090
read results/20250121_130135_scanAz_slow.txt,0.0054
20250121S130136.138311E131149.717362,1.5342
20250121S131150.678110E132204.126269,1.3266
20250121S132205.083441E133218.533679,1.3601
20250121S133219.489773E134232.939362,1.2033
20250121S134233.900850E135247.350342,1.1492
20250121S135248.307226E135635.828597,1.3236
read results/20250101_090135_scanAz_slow.txt,0.0054
20250101S090136.492651E091150.044624,1.1446
20250101S091151.001632E092204.448913,1.2044
20250101S092205.412587E093218.861395,1.2045
20250101S093219.817737E094233.266092,1.2727
20250101S094234.229456E095247.674816,1.1679
20250101S095248.637505E095636.158191,1.2932
read results/20250115_190134_scanAz_slow.txt,0.0055
20250115S190135.978616E191149.555969,1.1997
20250115S191150.514990E192203.963060,1.1182
20250115S192204.922381E193218.369978,1.1771
20250115S193219.327207E194232.779354,1.1167
20250115S194233.736570E195247.188057,1.2042
