Time Start,Time End,Time Avg,Time Leap,Data Point,T0 Max,T0 Min,T0 Avg,T0 Std,T1 Max,T1 Min,T1 Avg,T1 Std,T2 Max,T2 Min,T2 Avg,T2 Std,T3 Max,T3 Min,T3 Avg,T3 Std
2024-07-24 11:01:36.506027,2024-07-24 11:06:37.088475,2024-07-24 11:04:07.328915,0:05:00.582448,314,99.2907409668,95.9998474121,97.52547564172548,0.8963519967080252,52.5588874817,50.3297195435,51.42785467159809,0.5876509233872621,30.1521606445,28.0534610748,29.129229952577067,0.45047709883485454,23.2327766418,21.145324707,22.177093718459556,0.4827386462239513
2024-07-24 11:06:38.051106,2024-07-24 11:11:38.531437,2024-07-24 11:09:08.773474,0:05:00.480331,314,98.6742630005,94.6271514893,96.64299188601369,0.9403017053837622,52.3122367859,49.3855895996,50.858929008437265,0.6144224336080374,29.9323310852,27.908618927,28.960549360623887,0.4423092601922454,23.1674442291,21.0709533691,22.030667256399685,0.455329447689832
2024-07-24 11:11:39.494085,2024-07-24 11:16:39.976818,2024-07-24 11:14:10.216891,0:05:00.482733,314,97.1783599854,93.6330566406,95.43774603582642,0.8683749633188704,51.2631607056,48.7993164062,50.167779533729934,0.554477039075029,29.5664176941,27.7170658112,28.61827949961274,0.4329146458377616,22.766992569,20.877532959,21.843499590634078,0.44191139370039284
2024-07-24 11:16:40.934358,2024-07-24 11:21:41.422594,2024-07-24 11:19:11.656498,0:05:00.488236,314,95.7757797241,92.6374969482,94.39524219294076,0.7144604893561997,50.6461868286,48.3061828613,49.63170239879586,0.5153908438575447,29.2637443542,27.3021793365,28.383094957677706,0.42499418699530045,22.7761535645,20.581829071,21.71715053631178,0.4543939975804473
2024-07-24 11:21:42.382470,2024-07-24 11:26:42.866381,2024-07-24 11:24:13.103872,0:05:00.483911,314,95.1304168701,92.4512863159,93.8813570593586,0.6673337443940642,50.4426078796,48.3813056946,49.3064449213121,0.48436314855603313,29.1672477722,27.3754997253,28.150235990051275,0.43493956978273246,22.5796318054,20.5559577942,21.532826265713055,0.4661187645347883
2024-07-24 11:26:43.824809,2024-07-24 11:31:44.307135,2024-07-24 11:29:14.547691,0:05:00.482326,314,94.9942398071,92.2141571045,93.72697830200191,0.6520177496467007,50.375617981,48.1817703247,49.20496919959873,0.46540771933310654,29.0869026184,27.3663272858,28.11901670200669,0.3997678554200829,22.6279792786,20.6237792969,21.41975908826083,0.4313062861289663
2024-07-24 11:31:45.270104,2024-07-24 11:36:45.748965,2024-07-24 11:34:15.991197,0:05:00.478861,314,94.0336151123,91.0864181519,92.78403953989617,0.6457118473313529,49.7021179199,47.4766464233,48.68807181583216,0.46030812397609105,28.8088684082,26.9057617188,27.913078138021977,0.40937232434768644,22.3286380768,20.4208011627,21.34836334179809,0.4375088480593668
2024-07-24 11:36:46.712810,2024-07-24 11:41:47.191978,2024-07-24 11:39:17.434618,0:05:00.479168,314,93.4703903198,89.7972793579,91.53563167790796,0.8291256076894659,49.2631454468,46.7949028015,48.00699329983662,0.5430109679574628,28.5937385559,26.5281429291,27.539645936080255,0.44993800765344416,22.2729740143,20.1435184479,21.115315413020063,0.475394710031618
2024-07-24 11:41:48.156226,2024-07-24 11:46:48.635537,2024-07-24 11:44:18.877247,0:05:00.479311,314,92.4692993164,89.5365371704,90.74689661013917,0.6486588246327516,48.8789596558,46.6011657715,47.62237200159936,0.4853841047562558,28.4590396881,26.5899047852,27.42148961838503,0.43171466754082166,22.0579223633,19.999786377,20.963629910903183,0.44664587735037875
2024-07-24 11:46:49.600011,2024-07-24 11:51:50.082557,2024-07-24 11:49:20.318243,0:05:00.482546,314,91.6031799316,89.1451187134,90.20062450238886,0.640770093868445,48.4127426147,46.4437942505,47.31434792925223,0.4943269905090138,28.314617157,26.4318122864,27.28186301820669,0.4370526884265973,22.2213191986,19.9654541016,20.906131932690126,0.47347190921618065
2024-07-24 11:51:51.040433,2024-07-24 11:56:35.203652,2024-07-24 11:26:42.866381,0:04:44.163219,297,91.196472168,87.9302825928,89.31628068609561,0.6907008361991145,48.0357780457,45.9024581909,46.77228359903131,0.5058617846347905,27.998041153,26.2264347076,26.968667219786195,0.4434752114356387,21.7324771881,19.6444816589,20.692289134066332,0.48555224918608986
2024-08-11 19:01:35.739087,2024-08-11 19:06:36.317408,2024-08-11 19:04:06.552822,0:05:00.578321,314,116.015640259,112.735191345,114.28771552310509,0.801754041386003,63.3304328918,60.8625984192,61.94012768253599,0.5832315576389425,35.6179924011,33.5733261108,34.477195302393945,0.46012735199979216,26.7014274597,24.7866096497,25.652998219629616,0.43624227037129365
2024-08-11 19:06:37.278906,2024-08-11 19:11:37.759846,2024-08-11 19:09:08.000000,0:05:00.480940,314,116.213180542,113.228439331,114.69693627328024,0.7522302164837588,63.3273696899,61.1901855469,62.18874610609363,0.5465173239493971,35.6518974304,33.8069992065,34.60800438170254,0.4423225403607237,26.838848114,24.9455871582,25.718769614105096,0.43406747071990853
2024-08-11 19:11:38.721954,2024-08-11 19:16:39.203140,2024-08-11 19:14:09.444337,0:05:00.481186,314,116.693069458,113.840614319,115.15701784754775,0.7173055165261524,63.8730392456,61.5348739624,62.488359171871025,0.57097591003767,35.8204116821,33.9295120239,34.72738732501879,0.4721144748597925,26.828502655,24.8981742859,25.777920637917834,0.45839302672466
2024-08-11 19:16:40.166096,2024-08-11 19:21:40.645237,2024-08-11 19:19:10.886740,0:05:00.479141,314,116.774147034,113.464904785,115.04342257748408,0.8718093911576307,63.675239563,61.1629219055,62.41709545159554,0.6291620671858684,35.7118606567,33.8212051392,34.66637278514076,0.4838978377466438,26.9180717468,24.8243045807,25.776930511380257,0.47706858073509034
2024-08-11 19:21:41.610217,2024-08-11 19:26:42.094167,2024-08-11 19:24:12.332175,0:05:00.483950,314,116.443077087,113.402320862,114.62529740059236,0.8015541431667577,63.5471420288,61.1532897949,62.16797569906688,0.596228257744867,35.6037788391,33.7337265015,34.580242764420376,0.4780495252589173,26.8284301758,24.7634830475,25.673409808215286,0.47768106662153353
2024-08-11 19:26:43.052927,2024-08-11 19:31:43.532353,2024-08-11 19:29:13.773025,0:05:00.479426,314,116.25213623,113.420372009,114.84124245613056,0.7283982182713707,63.5525894165,61.1516647339,62.26061814909522,0.5542842855742561,35.6945304871,33.7609786987,34.6500078675105,0.4453589359923116,26.9448242188,24.8236694336,25.790977490178342,0.46954445032810566
2024-08-11 19:31:44.495996,2024-08-11 19:36:44.976137,2024-08-11 19:34:15.214855,0:05:00.480141,314,117.533958435,114.214393616,115.67129358666563,0.6968904124217531,64.1244888306,61.8221855164,62.8195615148828,0.5183943859574629,36.0109558105,33.9552307129,34.92754633715032,0.45837100808334746,27.4199714661,24.8091430664,26.130399054020064,0.4980676639516372
2024-08-11 19:36:45.939963,2024-08-11 19:41:46.421613,2024-08-11 19:39:16.659144,0:05:00.481650,314,117.97013855,115.035720825,116.29790071623567,0.7083958280110653,64.4683532715,62.26537323,63.21455506002771,0.5381374679449349,36.3202819824,34.3667297363,35.17270187815605,0.4615068856616564,27.4044551849,25.4003181458,26.268163286195545,0.4717929192058632
2024-08-11 19:41:47.379181,2024-08-11 19:46:47.868559,2024-08-11 19:44:18.102831,0:05:00.489378,314,118.673057556,115.336158752,117.03048453361463,0.7150862874338213,64.989616394,62.226234436,63.60072938955541,0.5843855921172453,36.4886665344,34.1110610962,35.25249986587993,0.48735687780073894,27.583190918,25.4411373138,26.43739513227293,0.47046784881311504
2024-08-11 19:46:48.827969,2024-08-11 19:51:49.308017,2024-08-11 19:49:19.550108,0:05:00.480048,314,118.800941467,116.328811646,117.4442404485796,0.60895650012504,64.9749069214,62.8596611023,63.852407163879626,0.519654838055187,36.4513931274,34.493560791,35.439989551618154,0.4635104581836698,27.5860710144,25.6618595123,26.51898962373153,0.4584879891272522
2024-08-11 19:51:50.271897,2024-08-11 19:56:34.432546,2024-08-11 19:26:42.094167,0:04:44.160649,297,118.802810669,116.71257019,117.5271330297239,0.5469445452145272,64.9856719971,63.1564865112,63.85359184188114,0.47601833773886254,36.4332199097,34.6539993286,35.38603004943334,0.4380648920474437,27.5707759857,25.5937252045,26.440073437159935,0.4709179139220695
