pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 682.0, 2835,-29.7,-34.2,-31.1, 65, 87, 0.31, 50, 3.1
 681.0, 2845,-30.1,-31.9,-28.9, 84,113, 0.39, 44, 3.4
 676.0, 2898,-27.5,-32.3,-29.3, 64, 83, 0.38, 15, 5.2
 674.0, 2920,-26.5,-32.5,-29.5, 57, 74, 0.37, 14, 5.1
 666.0, 3006,-26.1,-34.1,-31.0, 47, 61, 0.32, 10, 5.0
 650.0, 3182,-26.3,-35.3,-32.1, 42, 55, 0.29,  1, 4.7
 546.0, 4436,-29.5,-49.5,-45.6, 13, 17, 0.08,301, 3.0
 514.0, 4865,-32.1,-39.1,-35.7, 50, 68, 0.25,280, 2.3
 500.0, 5060,-33.1,-44.1,-40.4, 32, 45, 0.15,270, 2.1
 494.0, 5145,-33.9,-44.9,-41.2, 32, 45, 0.14,271, 2.0
 474.0, 5434,-35.7,-38.8,-35.4, 73,104, 0.28,275, 1.8
 442.0, 5918,-38.3,-53.3,-49.2, 19, 28, 0.06,281, 1.5
 415.0, 6350,-40.9,-46.9,-43.1, 52, 78, 0.14,287, 1.2
 406.0, 6499,-41.5,-54.5,-50.4, 23, 35, 0.06,289, 1.1
 400.0, 6600,-42.1,-55.1,-51.0, 23, 34, 0.05,290, 1.0
 383.0, 6893,-43.9,-54.9,-50.8, 28, 43, 0.06,255, 0.9
 361.0, 7287,-47.1,-56.1,-52.0, 35, 55, 0.05,208, 0.8
 343.0, 7624,-49.3,-51.4,-47.4, 78,126, 0.10,168, 0.6
 325.0, 7973,-51.7,-54.1,-50.1, 75,123, 0.07,125, 0.5
 312.0, 8238,-53.5,-56.2,-52.1, 72,120, 0.06,117, 1.3
 308.0, 8321,-53.7,-59.7,-55.5, 48, 79, 0.04,115, 1.6
 303.0, 8426,-54.3,-56.5,-52.4, 77,128, 0.06,112, 1.9
 300.0, 8490,-54.9,-57.5,-53.3, 73,122, 0.05,110, 2.1
 292.0, 8662,-55.9,-60.2,-56.0, 58, 99, 0.04,114, 1.9
 276.0, 9019,-58.5,-60.4,-56.2, 79,136, 0.04,123, 1.7
 268.0, 9204,-59.3,-67.3,-63.0, 35, 60, 0.02,128, 1.6
 265.0, 9274,-59.5,-65.5,-61.2, 45, 79, 0.02,130, 1.5
 257.0, 9466,-58.5,-69.5,-65.2, 23, 40, 0.01,130, 2.6
 250.0, 9640,-58.7,-65.7,-61.4, 40, 69, 0.02,130, 3.6
 245.0, 9767,-59.1,-66.1,-61.8, 40, 69, 0.02,133, 3.9
 231.0,10138,-56.7,-79.7,-75.5,  4,  7, 0.00,142, 4.8
 219.0,10479,-55.3,-80.9,-76.7,  3,  5, 0.00,150, 5.7
 202.0,10996,-53.2,-82.7,-78.5,  2,  3, 0.00,135, 7.2
 200.0,11060,-52.9,-82.9,-78.7,  1,  2, 0.00,135, 6.7
 196.0,11190,-52.3,-83.3,-79.1,  1,  2, 0.00,142, 7.4
 194.0,11257,-52.2,-83.3,-79.2,  1,  2, 0.00,145, 7.7
 176.0,11890,-51.2,-83.4,-79.2,  1,  2, 0.00,130, 8.2
 166.0,12271,-50.6,-83.4,-79.3,  1,  2, 0.00,150, 8.8
