pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 686.0, 2835,-29.1,-32.6,-29.6, 72, 95, 0.36,325, 3.1
 685.0, 2845,-27.9,-29.2,-26.4, 89,117, 0.50,325, 3.1
 636.0, 3372,-33.3,-33.5,-30.4, 98,136, 0.36,314, 3.3
 633.0, 3405,-29.7,-35.7,-32.5, 56, 75, 0.29,314, 3.4
 623.0, 3519,-29.5,-33.2,-30.1, 70, 94, 0.38,311, 3.4
 620.0, 3553,-29.5,-39.5,-36.0, 37, 50, 0.20,311, 3.4
 614.0, 3623,-29.3,-40.3,-36.8, 34, 45, 0.19,309, 3.5
 612.0, 3646,-29.1,-36.1,-32.8, 51, 68, 0.29,309, 3.5
 570.0, 4152,-30.9,-39.9,-36.4, 41, 55, 0.21,299, 3.7
 560.0, 4277,-31.5,-42.5,-38.9, 33, 45, 0.16,296, 3.8
 554.0, 4353,-32.1,-38.1,-34.7, 55, 76, 0.26,295, 3.8
 519.0, 4811,-34.7,-40.7,-37.2, 54, 76, 0.21,285, 4.0
 504.0, 5015,-35.7,-46.7,-42.9, 31, 45, 0.11,281, 4.1
 500.0, 5070,-35.9,-45.9,-42.1, 35, 50, 0.13,280, 4.1
 480.0, 5352,-37.9,-41.4,-37.8, 70,101, 0.21,270, 4.3
 425.0, 6182,-42.1,-49.1,-45.2, 46, 70, 0.10,240, 4.9
 422.0, 6230,-42.1,-47.0,-43.2, 59, 88, 0.13,238, 4.9
 403.0, 6540,-44.5,-47.2,-43.4, 74,114, 0.13,227, 5.1
 400.0, 6590,-44.7,-47.8,-43.9, 71,109, 0.13,225, 5.2
 391.0, 6742,-45.6,-50.3,-46.4, 59, 91, 0.10,215, 6.2
 390.0, 6759,-45.7,-50.6,-46.6, 58, 89, 0.09,216, 6.2
 376.0, 6998,-47.4,-51.5,-47.6, 62, 98, 0.09,225, 6.7
 333.0, 7793,-53.1,-54.7,-50.6, 83,137, 0.07,208, 7.3
 330.0, 7851,-53.5,-55.7,-51.6, 77,128, 0.06,207, 7.3
 327.0, 7910,-53.9,-58.6,-54.4, 56, 94, 0.04,206, 7.4
 303.0, 8397,-55.7,-62.7,-58.4, 41, 70, 0.03,195, 7.7
 300.0, 8460,-55.7,-63.7,-59.4, 36, 61, 0.02,195, 7.7
 273.0, 9064,-54.9,-72.9,-68.6,  9, 15, 0.01,200, 6.2
 257.0, 9452,-53.8,-74.5,-70.2,  6, 10, 0.01,190, 6.7
 251.0, 9604,-53.4,-75.2,-70.9,  5,  9, 0.01,165, 7.2
 250.0, 9630,-53.3,-75.3,-71.0,  5,  9, 0.01,165, 7.2
 245.0, 9761,-52.7,-76.4,-72.1,  4,  7, 0.00,175, 6.7
 239.0, 9921,-52.1,-77.8,-73.5,  3,  5, 0.00,160, 6.2
 224.0,10340,-50.3,-81.3,-77.1,  1,  2, 0.00,185, 6.2
 200.0,11080,-49.5,-82.5,-78.3,  1,  2, 0.00,160, 7.2
 199.0,11113,-49.5,-82.5,-78.4,  1,  2, 0.00,160, 7.2
 182.0,11696,-49.2,-83.2,-79.0,  1,  1, 0.00,180, 7.2
 173.0,12028,-49.0,-83.5,-79.4,  1,  1, 0.00,160, 5.7
 169.0,12181,-48.9,-83.7,-79.5,  1,  1, 0.00,175, 6.2
 150.0,12960,-48.5,-84.5,-80.4,  1,  1, 0.00,185, 6.7
