pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 683.0, 2835,-31.3,-35.6,-32.4, 66, 89, 0.27, 60, 3.1
 679.0, 2877,-29.3,-31.5,-28.5, 81,108, 0.41, 58, 3.1
 666.0, 3015,-29.5,-29.8,-27.0, 97,130, 0.49, 51, 2.9
 656.0, 3123,-28.7,-32.2,-29.2, 72, 95, 0.39, 45, 2.8
 641.0, 3289,-28.7,-30.6,-27.7, 84,111, 0.47, 37, 2.7
 636.0, 3346,-29.1,-31.8,-28.8, 77,103, 0.42, 34, 2.6
 629.0, 3425,-28.9,-39.9,-36.4, 34, 45, 0.19, 30, 2.5
 620.0, 3528,-28.9,-40.9,-37.4, 30, 41, 0.17, 24, 2.5
 605.0, 3703,-29.7,-34.4,-31.2, 64, 85, 0.34, 15, 2.3
 592.0, 3858,-29.9,-40.9,-37.4, 33, 45, 0.18,  7, 2.1
 564.0, 4203,-31.3,-38.3,-34.9, 50, 68, 0.25,349, 1.8
 555.0, 4317,-31.7,-44.7,-41.0, 26, 36, 0.13,343, 1.7
 549.0, 4394,-31.9,-41.9,-38.3, 36, 50, 0.18,339, 1.6
 543.0, 4472,-32.5,-39.5,-36.0, 50, 68, 0.23,335, 1.6
 534.0, 4590,-33.3,-42.3,-38.7, 40, 55, 0.17,329, 1.5
 500.0, 5050,-36.1,-40.1,-36.6, 66, 95, 0.23,305, 1.0
 483.0, 5290,-37.9,-41.0,-37.5, 73,105, 0.22,296, 1.3
 400.0, 6570,-46.3,-50.7,-46.7, 61, 95, 0.09,245, 2.6
 384.0, 6839,-47.9,-53.9,-49.8, 50, 79, 0.07,237, 3.2
 374.0, 7012,-48.9,-53.3,-49.2, 60, 96, 0.07,232, 3.5
 370.0, 7083,-48.9,-58.9,-54.7, 30, 48, 0.04,230, 3.7
 343.0, 7575,-51.9,-55.7,-51.6, 63,104, 0.06,214, 4.8
 319.0, 8040,-54.9,-57.4,-53.2, 74,124, 0.05,200, 5.8
 311.0, 8202,-55.3,-61.7,-57.5, 44, 75, 0.03,195, 6.2
 310.0, 8222,-55.3,-62.3,-58.0, 41, 70, 0.03,195, 6.1
 300.0, 8430,-56.3,-61.2,-57.0, 54, 92, 0.03,195, 5.2
 296.0, 8515,-56.7,-61.7,-57.4, 53, 91, 0.03,190, 5.2
 294.0, 8558,-56.9,-61.9,-57.6, 53, 91, 0.03,195, 4.6
 291.0, 8623,-56.7,-64.0,-59.8, 39, 66, 0.02,205, 5.7
 284.0, 8777,-56.1,-69.1,-64.8, 18, 31, 0.01,199, 5.7
 273.0, 9029,-55.4,-71.2,-66.9, 12, 21, 0.01,190, 5.7
 250.0, 9590,-53.9,-75.9,-71.6,  5,  8, 0.01,195, 5.7
 232.0,10076,-52.8,-78.2,-73.9,  3,  5, 0.00,195, 6.2
 215.0,10570,-51.7,-80.5,-76.3,  2,  3, 0.00,215, 7.7
 203.0,10943,-50.9,-82.2,-78.1,  1,  2, 0.00,195, 6.2
 200.0,11040,-50.7,-82.7,-78.5,  1,  2, 0.00,200, 4.6
 197.0,11139,-50.6,-82.8,-78.6,  1,  2, 0.00,205, 5.2
 186.0,11514,-50.2,-83.2,-79.0,  1,  2, 0.00,190, 5.2
 174.0,11950,-49.7,-83.7,-79.5,  1,  1, 0.00,210, 5.2
 170.0,12102,-49.6,-83.8,-79.7,  1,  1, 0.00,190, 6.2
 165.0,12297,-49.4,-84.0,-79.9,  1,  1, 0.00,205, 5.2
 152.0,12833,-48.8,-84.6,-80.5,  1,  1, 0.00,185, 6.2
 150.0,12920,-48.7,-84.7,-80.6,  1,  1, 0.00,190, 5.2
 146.0,13100,-48.2,-84.6,-80.5,  1,  1, 0.00,205, 5.2
 142.0,13285,-47.8,-84.5,-80.3,  1,  1, 0.00,195, 5.2
 132.0,13771,-46.6,-84.1,-80.0,  1,  1, 0.00,195, 5.2
 128.0,13976,-46.0,-84.0,-79.9,  1,  1, 0.00,165, 5.2
 122.0,14296,-45.2,-83.8,-79.6,  1,  1, 0.00,195, 5.2
 119.0,14462,-44.8,-83.7,-79.5,  1,  1, 0.00,180, 5.2
 107.0,15169,-43.0,-83.2,-79.0,  0,  1, 0.00,200, 5.2
 100.0,15620,-41.9,-82.9,-78.7,  0,  1, 0.00,180, 5.7
  98.0,15758,-41.8,-82.8,-78.6,  0,  1, 0.00,190, 6.7
