pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 682.0, 2835,-25.3,-29.2,-26.4, 70, 90, 0.50,340, 7.2
 666.0, 3007,-26.7,-28.8,-26.0, 82,107, 0.53,328, 8.6
 648.0, 3206,-26.4,-28.6,-25.9, 82,106, 0.56,315,10.3
 572.0, 4111,-25.3,-27.9,-25.2, 79,101, 0.68,301,10.3
 500.0, 5080,-30.3,-32.6,-29.6, 80,108, 0.50,285,10.3
 494.0, 5166,-30.9,-32.9,-29.8, 83,112, 0.49,283,10.0
 482.0, 5338,-31.9,-34.0,-30.9, 81,111, 0.45,280, 9.3
 457.0, 5710,-33.9,-36.4,-33.1, 78,109, 0.37,290, 9.8
 402.0, 6606,-38.9,-42.2,-38.6, 71,103, 0.23,236,10.8
 401.0, 6623,-39.1,-42.4,-38.8, 71,104, 0.23,235,10.8
 400.0, 6640,-39.3,-42.6,-39.0, 71,104, 0.22,230,10.8
 362.0, 7313,-44.7,-47.7,-43.9, 72,110, 0.14,240,10.3
 358.0, 7388,-45.3,-48.3,-44.4, 72,111, 0.13,237,10.8
 329.0, 7948,-47.7,-51.1,-47.1, 68,107, 0.11,218,14.3
 324.0, 8048,-48.4,-51.9,-47.9, 67,107, 0.10,215,14.9
 300.0, 8550,-52.1,-55.9,-51.8, 63,104, 0.07,220,14.4
 264.0, 9367,-58.1,-62.5,-58.2, 57, 98, 0.03,224,14.8
 250.0, 9710,-58.5,-63.0,-58.7, 56, 97, 0.03,225,14.9
 244.0, 9863,-59.1,-61.7,-57.5, 72,125, 0.04,228,16.0
 239.0, 9992,-59.8,-63.4,-59.1, 62,109, 0.03,230,17.0
 235.0,10098,-60.3,-64.8,-60.5, 55, 97, 0.03,225,18.5
 227.0,10315,-60.1,-68.1,-63.8, 34, 60, 0.02,222,18.2
 200.0,11110,-58.1,-76.1,-71.8,  8, 14, 0.01,210,17.0
 195.0,11269,-57.7,-80.7,-76.5,  4,  7, 0.00,213,18.1
 191.0,11400,-57.5,-81.0,-76.8,  3,  6, 0.00,215,19.0
 174.0,11990,-56.5,-82.5,-78.4,  2,  4, 0.00,205,17.5
 150.0,12930,-54.9,-84.9,-80.8,  1,  2, 0.00,205,14.9
 145.0,13147,-53.5,-84.5,-80.4,  1,  2, 0.00,203,14.7
 140.0,13374,-53.2,-84.5,-80.4,  1,  2, 0.00,200,14.4
 131.0,13804,-52.7,-84.5,-80.4,  1,  2, 0.00,215,11.8
 120.0,14371,-52.0,-84.5,-80.4,  1,  2, 0.00,225,17.0
 118.0,14480,-51.8,-84.5,-80.4,  1,  2, 0.00,215,18.0
 112.0,14817,-51.4,-84.5,-80.4,  1,  2, 0.00,195,11.8
 100.0,15550,-50.5,-84.5,-80.4,  1,  1, 0.00,195, 9.3
  98.0,15684,-50.0,-84.3,-80.2,  1,  1, 0.00,210,11.3
  94.0,15961,-49.0,-84.0,-79.9,  1,  1, 0.00,195,14.4
  89.0,16324,-47.6,-83.6,-79.4,  1,  1, 0.00,205,12.9
  85.0,16630,-46.5,-83.2,-79.1,  1,  1, 0.00,190,11.8
  72.0,17733,-42.4,-81.9,-77.7,  1,  1, 0.01,195, 8.2
  70.0,17920,-41.7,-81.7,-77.5,  1,  1, 0.01,195,10.3
  69.0,18018,-41.6,-81.6,-77.4,  1,  1, 0.01,205, 9.3
  67.6,18157,-41.5,-81.5,-77.3,  1,  1, 0.01,198, 9.7
  66.0,18319,-42.2,-82.2,-78.0,  0,  1, 0.01,190,10.3
  65.7,18350,-42.3,-82.3,-78.1,  0,  1, 0.01,191,10.4
  61.0,18861,-40.1,-80.9,-76.7,  0,  1, 0.01,215,11.3
  59.0,19090,-39.1,-80.3,-76.0,  0,  1, 0.01,195,16.5
  57.0,19328,-38.0,-79.6,-75.4,  0,  1, 0.01,175,11.8
  54.0,19700,-36.4,-78.6,-74.3,  0,  1, 0.02,210, 9.8
  50.0,20230,-34.1,-77.1,-72.8,  0,  1, 0.02,180,13.4
  48.0,20516,-32.4,-76.2,-72.0,  0,  1, 0.03,180, 8.2
  47.7,20560,-32.1,-76.1,-71.8,  0,  1, 0.03,186, 7.5
  47.0,20665,-31.9,-76.0,-71.7,  0,  1, 0.03,200, 5.7
  46.0,20817,-31.7,-75.9,-71.6,  0,  1, 0.03,220, 8.2
  44.0,21131,-31.3,-75.6,-71.3,  0,  1, 0.03,210,11.8
  42.0,21460,-30.8,-75.3,-71.1,  0,  1, 0.03,220,15.4
  41.0,21630,-30.6,-75.2,-70.9,  0,  1, 0.03,215,17.5
  38.0,22168,-29.8,-74.7,-70.5,  0,  1, 0.04,175, 9.3
  37.7,22224,-29.7,-74.7,-70.4,  0,  1, 0.04,178, 8.7
  37.0,22357,-29.6,-74.6,-70.3,  0,  1, 0.04,185, 7.2
  36.0,22552,-29.5,-74.5,-70.2,  0,  1, 0.04,190, 9.8
  34.0,22959,-29.3,-74.3,-70.0,  0,  1, 0.05,210, 8.8
  31.0,23617,-29.0,-74.0,-69.7,  0,  1, 0.05,210,12.4
  30.0,23850,-28.9,-73.9,-69.6,  0,  1, 0.06,220,12.4
  29.0,24093,-28.4,-74.3,-70.0,  0,  1, 0.06,190,12.4
  28.9,24117,-28.3,-74.3,-70.0,  0,  1, 0.06,   ,    
