pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
 682.0, 2835,-29.7,-33.9,-30.8, 67, 89, 0.32, 55, 3.1
 681.0, 2845,-29.3,-31.4,-28.4, 82,109, 0.41, 53, 3.0
 679.0, 2867,-27.9,-29.1,-26.3, 89,118, 0.51, 49, 3.0
 676.0, 2899,-27.3,-29.3,-26.5, 83,109, 0.50, 43, 2.8
 659.0, 3083,-26.9,-33.2,-30.1, 55, 72, 0.35, 10, 2.1
 626.0, 3455,-26.1,-41.1,-37.6, 23, 30, 0.17,  7, 3.1
 601.0, 3749,-27.3,-47.3,-43.5, 13, 17, 0.09,  4, 4.0
 589.0, 3895,-27.9,-39.9,-36.4, 31, 41, 0.20,  2, 4.4
 581.0, 3993,-28.1,-43.1,-39.5, 22, 30, 0.15,  2, 4.7
 568.0, 4154,-29.0,-44.0,-40.3, 22, 29, 0.14,  0, 5.2
 516.0, 4838,-32.9,-47.9,-44.0, 21, 29, 0.10, 19, 5.2
 514.0, 4866,-33.1,-45.1,-41.4, 29, 40, 0.13, 20, 5.2
 512.0, 4893,-33.3,-42.3,-38.7, 40, 55, 0.18, 19, 5.2
 500.0, 5060,-34.1,-45.1,-41.4, 32, 45, 0.14, 10, 5.2
 492.0, 5173,-34.7,-51.7,-47.7, 16, 23, 0.07, 10, 5.5
 488.0, 5230,-35.1,-51.4,-47.4, 17, 25, 0.07, 10, 5.7
 471.0, 5477,-36.9,-49.9,-46.0, 25, 35, 0.08, 13, 5.5
 468.0, 5521,-37.1,-43.1,-39.5, 54, 77, 0.18, 13, 5.4
 457.0, 5685,-38.3,-43.3,-39.6, 59, 86, 0.18, 15, 5.3
 453.0, 5746,-38.7,-47.7,-43.8, 38, 55, 0.11, 16, 5.3
 425.0, 6181,-42.1,-44.3,-40.6, 79,119, 0.18, 20, 4.9
 400.0, 6590,-44.7,-50.7,-46.7, 51, 79, 0.09, 25, 4.6
 399.0, 6607,-44.9,-50.9,-46.9, 51, 79, 0.09, 25, 4.7
 391.0, 6741,-45.5,-53.5,-49.4, 40, 62, 0.07, 25, 4.8
 376.0, 6996,-47.1,-54.5,-50.4, 43, 67, 0.06, 25, 5.2
 362.0, 7243,-48.7,-55.4,-51.3, 45, 72, 0.06, 45, 5.7
 345.0, 7556,-50.7,-56.6,-52.5, 49, 80, 0.05, 35, 6.2
 318.0, 8086,-54.0,-58.7,-54.5, 57, 95, 0.04, 45, 6.2
 310.0, 8252,-55.1,-59.3,-55.1, 59,100, 0.04, 42, 5.9
 305.0, 8355,-55.7,-61.7,-57.5, 47, 79, 0.03, 40, 5.7
 300.0, 8460,-55.3,-63.3,-59.0, 36, 61, 0.03, 35, 5.2
 295.0, 8568,-55.1,-66.1,-61.8, 24, 41, 0.02, 31, 5.2
 288.0, 8722,-55.3,-62.8,-58.5, 39, 65, 0.03, 25, 5.2
 287.0, 8744,-55.3,-62.3,-58.0, 41, 70, 0.03, 26, 5.1
 283.0, 8834,-55.1,-68.1,-63.8, 18, 31, 0.01, 32, 4.9
 269.0, 9159,-54.9,-69.9,-65.6, 14, 23, 0.01, 54, 4.2
 250.0, 9630,-54.3,-72.3,-68.0,  9, 15, 0.01, 85, 3.1
 231.0,10140,-52.7,-75.3,-71.0,  5,  8, 0.01,135, 2.1
 203.0,10974,-50.0,-80.1,-75.9,  2,  3, 0.00,185, 5.2
 200.0,11070,-49.7,-80.7,-76.5,  1,  2, 0.00,185, 5.7
 152.0,12873,-48.4,-82.2,-78.0,  1,  2, 0.00,185,11.8
 150.0,12960,-48.3,-82.3,-78.1,  1,  2, 0.00,190,11.8
 139.0,13467,-47.4,-82.1,-77.9,  1,  1, 0.00,200,14.4
 133.0,13761,-46.8,-82.0,-77.8,  1,  1, 0.00,185,14.9
 116.0,14672,-45.1,-81.7,-77.5,  1,  1, 0.00,190,15.4
 100.0,15660,-43.3,-81.3,-77.1,  1,  1, 0.01,190,12.4
  86.0,16679,-42.5,-81.3,-77.1,  1,  1, 0.01,185,10.8
  82.0,17001,-42.2,-81.3,-77.1,  1,  1, 0.01,205,11.8
  77.0,17426,-41.8,-81.3,-77.1,  1,  1, 0.01,185,16.0
  73.0,17786,-41.5,-81.3,-77.1,  1,  1, 0.01,165,11.8
  70.0,18070,-41.3,-81.3,-77.1,  1,  1, 0.01,195,11.3
  62.0,18900,-40.1,-80.9,-76.7,  1,  1, 0.01,170,10.8
  60.0,19124,-39.8,-80.8,-76.5,  0,  1, 0.01,190,11.3
  55.0,19718,-39.0,-80.4,-76.2,  0,  1, 0.01,170, 9.8
  53.0,19972,-38.7,-80.3,-76.1,  0,  1, 0.01,190, 9.8
  50.0,20370,-38.1,-80.1,-75.9,  0,  1, 0.01,185, 7.7
  46.0,20944,-37.8,-79.8,-75.6,  0,  1, 0.01,175, 7.7
  45.0,21096,-37.7,-79.7,-75.5,  0,  1, 0.02,185, 6.2
  41.8,21604,-37.5,-79.5,-75.3,  0,  1, 0.02,176, 7.8
  40.0,21911,-36.7,-79.0,-74.8,  0,  1, 0.02,170, 8.8
  38.0,22268,-35.8,-78.5,-74.2,  0,  1, 0.02,185, 9.8
  37.0,22454,-35.3,-78.2,-74.0,  0,  1, 0.02,170,12.4
  36.0,22645,-34.9,-77.9,-73.7,  0,  1, 0.03,160, 9.8
  34.0,23044,-33.8,-77.3,-73.0,  0,  1, 0.03,165, 8.2
  33.0,23252,-33.3,-77.0,-72.7,  0,  1, 0.03,150, 6.2
  32.0,23466,-32.8,-76.7,-72.4,  0,  1, 0.04,180, 3.6
  31.5,23576,-32.5,-76.5,-72.2,  0,  1, 0.04,   ,    
