am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-09-15 10:01:36, 373.638, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:06:38, 374.484, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:11:41, 374.927, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:16:43, 375.702, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:21:46, 375.499, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:26:48, 375.739, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:31:50, 374.263, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:36:53, 373.767, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:41:55, 374.006, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:46:58, 374.006, 2024-09-15 12:00:00, 270.0 
2024-09-15 10:52:00, 372.848, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:01:36, 372.061, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:06:38, 372.39, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:11:41, 371.695, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:16:43, 369.835, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:21:45, 368.546, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:26:48, 367.333, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:31:50, 366.9, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:36:53, 367.731, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:41:55, 368.854, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:46:57, 368.346, 2024-09-15 12:00:00, 270.0 
2024-09-15 11:52:00, 366.648, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:01:35, 372.061, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:06:38, 371.33, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:11:40, 371.622, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:16:43, 371.476, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:21:45, 371.074, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:26:48, 372.647, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:31:50, 373.583, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:36:52, 373.785, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:41:55, 373.748, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:46:57, 372.464, 2024-09-15 12:00:00, 270.0 
2024-09-15 13:52:00, 371.494, 2024-09-15 12:00:00, 270.0 
