am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-02-09 22:01:36, 922.653, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:06:38, 924.135, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:11:41, 927.907, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:16:43, 930.683, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:21:45, 931.695, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:26:48, 932.385, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:31:50, 934.021, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:36:53, 935.879, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:41:55, 936.838, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:46:57, 938.181, 2024-02-10 00:00:00, 750.0 
2024-02-09 22:52:00, 937.509, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:01:35, 944.666, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:06:38, 946.253, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:11:40, 947.176, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:16:43, 948.358, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:21:45, 947.656, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:26:48, 945.319, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:31:50, 943.733, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:36:52, 945.039, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:41:55, 945.879, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:46:57, 945.506, 2024-02-10 00:00:00, 750.0 
2024-02-10 01:52:00, 944.293, 2024-02-10 00:00:00, 750.0 
