am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-06-21 22:01:36, 375.776, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:06:38, 374.668, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:11:40, 374.079, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:16:43, 375.591, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:21:45, 377.74, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:26:48, 378.708, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:31:50, 375.739, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:36:52, 375.332, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:41:55, 374.816, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:46:57, 375.222, 2024-06-22 00:00:00, 280.0 
2024-06-21 22:52:00, 375.351, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:01:35, 378.372, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:06:38, 378.596, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:11:40, 378.41, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:16:43, 383.054, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:21:45, 386.233, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:26:47, 386.233, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:31:50, 385.247, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:36:52, 385.228, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:41:55, 386.747, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:46:57, 388.444, 2024-06-22 00:00:00, 280.0 
2024-06-22 01:51:59, 388.482, 2024-06-22 00:00:00, 280.0 
