am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-11-17 10:01:36, 537.552, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:06:38, 533.395, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:11:41, 520.824, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:16:43, 511.957, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:21:46, 507.699, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:26:48, 503.452, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:31:50, 502.696, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:36:53, 511.453, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:41:55, 518.545, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:46:58, 514.701, 2024-11-17 12:00:00, 390.0 
2024-11-17 10:52:00, 509.202, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:01:36, 503.974, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:06:38, 514.093, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:11:41, 514.017, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:16:43, 513.597, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:21:45, 517.218, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:26:48, 513.675, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:31:50, 505.503, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:36:53, 511.591, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:41:55, 519.184, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:46:57, 517.448, 2024-11-17 12:00:00, 390.0 
2024-11-17 11:52:00, 515.323, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:01:36, 517.728, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:06:38, 516.085, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:11:40, 510.609, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:16:43, 511.062, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:21:45, 513.093, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:26:48, 512.51, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:31:50, 511.213, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:36:52, 509.428, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:41:55, 507.662, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:46:57, 510.094, 2024-11-17 12:00:00, 390.0 
2024-11-17 13:52:00, 511.3, 2024-11-17 12:00:00, 390.0 
