am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-11-14 10:01:35, 410.493, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:06:38, 412.234, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:11:40, 414.39, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:16:43, 416.373, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:21:45, 417.995, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:26:47, 418.86, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:31:50, 419.685, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:36:52, 420.14, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:41:55, 421.756, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:46:57, 422.047, 2024-11-14 12:00:00, 290.0 
2024-11-14 10:52:00, 420.968, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:01:35, 425.845, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:06:38, 427.652, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:11:40, 429.085, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:16:42, 432.138, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:21:45, 432.223, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:26:47, 433.608, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:31:50, 434.698, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:36:52, 434.891, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:41:55, 435.084, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:46:57, 435.684, 2024-11-14 12:00:00, 290.0 
2024-11-14 11:51:59, 435.813, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:01:36, 442.199, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:06:38, 443.038, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:11:41, 443.158, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:16:43, 442.297, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:21:46, 441.145, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:26:48, 441.427, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:31:51, 440.938, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:36:53, 440.797, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:41:55, 441.036, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:46:58, 442.101, 2024-11-14 12:00:00, 290.0 
2024-11-14 13:52:00, 441.753, 2024-11-14 12:00:00, 290.0 
