am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-12-01 22:01:36, 585.042, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:06:38, 586.24, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:11:41, 587.973, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:16:43, 587.484, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:21:45, 586.642, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:26:48, 583.012, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:31:50, 580.463, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:36:53, 578.474, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:41:55, 576.328, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:46:57, 575.459, 2024-12-02 00:00:00, 450.0 
2024-12-01 22:52:00, 575.091, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:01:35, 614.353, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:06:38, 613.082, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:11:40, 613.475, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:16:43, 615.369, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:21:45, 616.671, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:26:47, 616.078, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:31:50, 613.581, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:36:52, 614.384, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:41:55, 615.369, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:46:57, 612.946, 2024-12-02 00:00:00, 450.0 
2024-12-02 01:51:59, 610.292, 2024-12-02 00:00:00, 450.0 
