am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-02-13 22:01:36, 628.139, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:06:38, 623.555, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:11:41, 618.487, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:16:43, 613.596, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:21:45, 611.015, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:26:48, 612.614, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:31:50, 610.251, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:36:53, 602.949, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:41:55, 599.921, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:46:57, 595.02, 2024-02-14 00:00:00, 500.0 
2024-02-13 22:52:00, 594.774, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:01:35, 593.163, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:06:38, 599.171, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:11:40, 610.303, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:16:43, 616.671, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:21:45, 615.092, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:26:47, 614.066, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:31:50, 609.15, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:36:52, 606.692, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:41:55, 610.333, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:46:57, 618.533, 2024-02-14 00:00:00, 500.0 
2024-02-14 01:51:59, 626.422, 2024-02-14 00:00:00, 500.0 
