am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-11-19 10:01:36, 394.511, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:06:38, 394.297, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:11:40, 393.096, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:16:43, 391.206, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:21:45, 388.75, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:26:48, 387.356, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:31:50, 386.081, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:36:52, 385.626, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:41:55, 384.489, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:46:57, 382.301, 2024-11-19 12:00:00, 300.0 
2024-11-19 10:52:00, 379.286, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:01:35, 377.889, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:06:38, 375.443, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:11:40, 375.037, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:16:43, 375.148, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:21:45, 373.895, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:26:47, 372.171, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:31:50, 370.454, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:36:52, 369.599, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:41:55, 367.586, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:46:57, 365.855, 2024-11-19 12:00:00, 300.0 
2024-11-19 11:52:00, 364.705, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:01:35, 355.918, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:06:38, 356.163, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:11:40, 355.708, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:16:43, 356.058, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:21:45, 354.346, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:26:47, 353.424, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:31:50, 353.024, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:36:52, 351.777, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:41:55, 349.983, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:46:57, 348.232, 2024-11-19 12:00:00, 300.0 
2024-11-19 13:51:59, 346.286, 2024-11-19 12:00:00, 300.0 
