am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-03-01 10:01:36, 520.042, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:06:38, 517.932, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:11:41, 514.727, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:16:43, 512.702, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:21:45, 509.905, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:26:48, 508.738, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:31:50, 508.738, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:36:53, 508.789, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:41:55, 509.002, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:46:57, 508.162, 2024-03-01 12:00:00, 420.0 
2024-03-01 10:52:00, 507.849, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:01:35, 506.949, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:06:38, 507.074, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:11:40, 506.5, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:16:43, 504.905, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:21:45, 504.421, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:26:48, 504.57, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:31:50, 505.055, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:36:52, 505.105, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:41:55, 504.408, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:46:57, 503.887, 2024-03-01 12:00:00, 420.0 
2024-03-01 11:52:00, 503.527, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:01:35, 488.512, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:06:38, 488.584, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:11:40, 488.608, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:16:43, 488.957, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:21:45, 488.211, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:26:47, 487.647, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:31:50, 488.223, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:36:52, 487.599, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:41:55, 487.346, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:46:57, 486.854, 2024-03-01 12:00:00, 420.0 
2024-03-01 13:51:59, 485.705, 2024-03-01 12:00:00, 420.0 
