am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-02-24 22:01:36, 953.5, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:06:38, 963.487, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:11:40, 970.219, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:16:43, 972.666, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:21:45, 967.253, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:26:48, 971.178, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:31:50, 981.714, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:36:52, 977.3, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:41:55, 993.787, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:46:57, 1001.31, 2024-02-25 00:00:00, 790.0 
2024-02-24 22:52:00, 1011.1, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:01:35, 1017.54, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:06:38, 1016.89, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:11:40, 1018.5, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:16:42, 1017.97, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:21:45, 1016.2, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:26:47, 1016.28, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:31:50, 1021.47, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:36:52, 1026.65, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:41:54, 1029.85, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:46:57, 1032.12, 2024-02-25 00:00:00, 790.0 
2024-02-25 01:51:59, 1034.08, 2024-02-25 00:00:00, 790.0 
