am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-01-18 10:01:35, 910.254, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:06:38, 908.918, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:11:40, 908.29, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:16:43, 907.651, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:21:45, 906.42, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:26:47, 904.397, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:31:50, 905.223, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:36:52, 905.324, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:41:55, 905.57, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:46:57, 905.045, 2024-01-18 12:00:00, 760.0 
2024-01-18 10:51:59, 902.301, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:01:36, 899.787, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:06:39, 899.787, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:11:41, 898.932, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:16:44, 898.433, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:21:46, 898.222, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:26:48, 898.511, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:31:51, 900.765, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:36:53, 903.036, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:41:56, 903.504, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:46:58, 906.935, 2024-01-18 12:00:00, 760.0 
2024-01-18 11:52:00, 905.581, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:01:35, 902.445, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:06:38, 902.702, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:11:40, 901.933, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:16:43, 901.265, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:21:45, 900.009, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:26:47, 898.222, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:31:50, 896.107, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:36:52, 895.289, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:41:55, 894.969, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:46:57, 895.842, 2024-01-18 12:00:00, 760.0 
2024-01-18 13:51:59, 894.648, 2024-01-18 12:00:00, 760.0 
