am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-09-07 10:01:35, 492.924, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:06:38, 492.912, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:11:40, 492.948, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:16:42, 493.154, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:21:45, 490.284, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:26:47, 489.476, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:31:50, 489.825, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:36:52, 490.332, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:41:54, 490.61, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:46:57, 491.832, 2024-09-07 12:00:00, 370.0 
2024-09-07 10:51:59, 493.349, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:01:36, 495.688, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:06:39, 494.907, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:11:42, 494.346, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:16:44, 493.859, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:21:47, 492.426, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:26:49, 489.91, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:31:51, 489.235, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:36:54, 492.645, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:41:56, 495.088, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:46:59, 492.96, 2024-09-07 12:00:00, 370.0 
2024-09-07 11:52:01, 491.735, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:01:36, 468.944, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:06:38, 471.677, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:11:41, 471.375, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:16:43, 471.468, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:21:45, 470.262, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:26:48, 471.839, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:31:50, 474.59, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:36:53, 472.025, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:41:55, 471.096, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:46:57, 470.424, 2024-09-07 12:00:00, 370.0 
2024-09-07 13:52:00, 470.401, 2024-09-07 12:00:00, 370.0 
