am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-12-25 10:01:35, 769.197, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:06:38, 773.575, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:11:40, 781.248, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:16:43, 786.083, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:21:45, 789.796, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:26:47, 791.709, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:31:50, 795.567, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:36:52, 799.278, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:41:55, 797.729, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:46:57, 800.688, 2024-12-25 12:00:00, 510.0 
2024-12-25 10:51:59, 798.242, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:01:36, 791.974, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:06:38, 788.772, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:11:41, 785.722, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:16:43, 777.44, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:21:46, 771.859, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:26:48, 768.393, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:31:50, 768.241, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:36:53, 767.074, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:41:55, 767.453, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:46:58, 768.412, 2024-12-25 12:00:00, 510.0 
2024-12-25 11:52:00, 771.078, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:01:36, 787.647, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:06:38, 791.932, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:11:41, 795.634, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:16:43, 796.864, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:21:45, 797.994, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:26:48, 796.282, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:31:50, 794.342, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:36:53, 790.771, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:41:55, 790.128, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:46:58, 787.364, 2024-12-25 12:00:00, 510.0 
2024-12-25 13:52:00, 779.996, 2024-12-25 12:00:00, 510.0 
