am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-11-01 01:01:36, 859.673, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:06:38, 857.829, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:11:40, 856.675, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:16:43, 857.914, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:21:45, 856.834, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:26:48, 858.359, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:31:50, 860.597, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:36:53, 861.989, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:41:55, 860.809, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:46:57, 862.383, 2024-11-01 00:00:00, 580.0 
2024-11-01 01:52:00, 862.032, 2024-11-01 00:00:00, 580.0 
