am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-05-26 10:01:36, 211.042, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:06:39, 210.548, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:11:41, 210.301, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:16:43, 210.583, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:21:46, 211.891, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:26:48, 214.015, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:31:51, 215.74, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:36:53, 221.325, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:41:55, 229.651, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:46:58, 237.222, 2024-05-26 12:00:00, 150.0 
2024-05-26 10:52:00, 245.094, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:01:36, 263.155, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:06:38, 263.104, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:11:41, 264.086, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:16:43, 268.568, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:21:46, 267.739, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:26:48, 268.897, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:31:50, 264.813, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:36:53, 261.457, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:41:55, 258.93, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:46:58, 258.575, 2024-05-26 12:00:00, 150.0 
2024-05-26 11:52:00, 258.917, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:01:36, 273.904, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:06:38, 275.928, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:11:41, 276.579, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:16:43, 278.814, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:21:45, 280.075, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:26:48, 281.536, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:31:50, 282.81, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:36:53, 281.73, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:41:55, 280.488, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:46:57, 282.727, 2024-05-26 12:00:00, 150.0 
2024-05-26 13:52:00, 283.033, 2024-05-26 12:00:00, 150.0 
