am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-07-08 10:01:36, 610.082, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:06:38, 613.411, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:11:41, 614.399, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:16:43, 617.055, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:21:45, 617.345, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:26:48, 617.299, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:31:50, 617.801, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:36:53, 615.278, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:41:55, 614.717, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:46:57, 617.425, 2024-07-08 12:00:00, 470.0 
2024-07-08 10:52:00, 615.839, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:01:35, 617.01, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:06:38, 613.339, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:11:40, 610.488, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:16:43, 614.565, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:21:45, 625.372, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:26:48, 623.971, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:31:50, 624.094, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:36:52, 621.407, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:41:55, 621.162, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:46:57, 621.51, 2024-07-08 12:00:00, 470.0 
2024-07-08 11:52:00, 619.418, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:01:35, 577.562, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:06:38, 574.311, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:11:40, 572.234, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:16:43, 569.406, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:21:45, 561.875, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:26:47, 554.311, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:31:50, 557.835, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:36:52, 562.252, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:41:55, 563.556, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:46:57, 560.329, 2024-07-08 12:00:00, 470.0 
2024-07-08 13:51:59, 554.464, 2024-07-08 12:00:00, 470.0 
