am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-02-17 10:01:36, 802.381, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:06:38, 798.872, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:11:40, 797.513, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:16:43, 796.294, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:21:45, 793.939, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:26:48, 792.518, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:31:50, 791.806, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:36:52, 790.841, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:41:55, 789.457, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:46:57, 788.675, 2024-02-17 12:00:00, 650.0 
2024-02-17 10:52:00, 786.257, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:01:35, 786.323, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:06:38, 788.367, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:11:40, 788.803, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:16:43, 787.811, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:21:45, 787.733, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:26:47, 787.472, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:31:50, 788.083, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:36:52, 788.044, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:41:55, 788.297, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:46:57, 787.694, 2024-02-17 12:00:00, 650.0 
2024-02-17 11:51:59, 786.839, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:01:35, 779.188, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:06:38, 778.45, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:11:40, 776.233, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:16:42, 773.735, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:21:45, 773.212, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:26:47, 773.308, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:31:50, 771.832, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:36:52, 770.546, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:41:54, 768.078, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:46:57, 764.523, 2024-02-17 12:00:00, 650.0 
2024-02-17 13:51:59, 760.497, 2024-02-17 12:00:00, 650.0 
