am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-03-25 10:01:35, 483.437, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:06:38, 483.866, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:11:40, 484.473, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:16:43, 484.258, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:21:45, 481.5, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:26:48, 479.985, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:31:50, 473.912, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:36:52, 471.445, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:41:55, 469.29, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:46:57, 467.215, 2024-03-25 12:00:00, 400.0 
2024-03-25 10:52:00, 464.073, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:01:35, 460.363, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:06:38, 458.778, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:11:40, 457.346, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:16:43, 457.751, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:21:45, 457.042, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:26:47, 458.982, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:31:50, 458.394, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:36:52, 458.214, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:41:55, 458.304, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:46:57, 458.394, 2024-03-25 12:00:00, 400.0 
2024-03-25 11:51:59, 458.214, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:01:36, 461.429, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:06:39, 461.475, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:11:41, 462.225, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:16:43, 461.759, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:21:46, 461.441, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:26:48, 462.271, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:31:51, 460.884, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:36:53, 460.68, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:41:55, 459.864, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:46:58, 460.272, 2024-03-25 12:00:00, 400.0 
2024-03-25 13:52:00, 460.057, 2024-03-25 12:00:00, 400.0 
