am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-10-24 22:01:36, 709.91, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:06:39, 707.323, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:11:41, 705.65, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:16:43, 704.103, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:21:46, 705.331, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:26:48, 709.379, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:31:51, 713.151, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:36:53, 709.689, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:41:55, 705.314, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:46:58, 704.138, 2024-10-25 00:00:00, 580.0 
2024-10-24 22:52:00, 701.566, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:01:36, 641.348, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:06:38, 641.258, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:11:41, 642.932, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:16:43, 643.122, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:21:45, 641.949, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:26:48, 639.721, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:31:50, 639.374, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:36:53, 637.297, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:41:55, 635.163, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:46:57, 633.396, 2024-10-25 00:00:00, 580.0 
2024-10-25 01:52:00, 634.235, 2024-10-25 00:00:00, 580.0 
