am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-01-10 22:01:36, 1098.96, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:06:38, 1098.16, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:11:41, 1097.8, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:16:43, 1095.0, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:21:46, 1090.37, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:26:48, 1086.63, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:31:50, 1080.01, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:36:53, 1076.29, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:41:55, 1073.86, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:46:58, 1071.62, 2024-01-11 00:00:00, 940.0 
2024-01-10 22:52:00, 1068.24, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:01:35, 1056.59, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:06:38, 1053.73, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:11:40, 1053.06, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:16:43, 1052.23, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:21:45, 1052.75, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:26:48, 1053.45, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:31:50, 1054.72, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:36:52, 1055.8, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:41:55, 1056.31, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:46:57, 1053.17, 2024-01-11 00:00:00, 940.0 
2024-01-11 01:52:00, 1049.75, 2024-01-11 00:00:00, 940.0 
