am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-04-27 22:01:36, 381.381, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:06:38, 381.175, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:11:40, 379.752, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:16:43, 381.062, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:21:45, 381.287, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:26:48, 380.912, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:31:50, 381.512, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:36:53, 382.001, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:41:55, 382.414, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:46:57, 382.565, 2024-04-28 00:00:00, 280.0 
2024-04-27 22:52:00, 383.281, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:01:35, 403.92, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:06:38, 404.198, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:11:40, 404.636, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:16:43, 404.955, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:21:45, 403.721, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:26:47, 402.57, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:31:50, 401.285, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:36:52, 400.713, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:41:55, 401.068, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:46:57, 400.949, 2024-04-28 00:00:00, 280.0 
2024-04-28 01:51:59, 399.315, 2024-04-28 00:00:00, 280.0 
