am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-06-01 01:01:35, 238.084, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:06:38, 242.489, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:11:40, 241.35, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:16:42, 239.629, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:21:45, 241.48, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:26:47, 244.998, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:31:50, 246.515, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:36:52, 245.888, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:41:54, 247.97, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:46:57, 250.807, 2024-06-01 00:00:00, 200.0 
2024-06-01 01:51:59, 252.559, 2024-06-01 00:00:00, 200.0 
