am_TIME, am_PWV(um), balloon_TIME, balloon_PWV(um) 
2024-11-11 10:01:08, 1127.74, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:06:11, 1127.13, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:11:13, 1123.39, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:16:16, 1120.5, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:21:18, 1114.49, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:26:20, 1107.56, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:31:23, 1098.3, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:36:25, 1094.56, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:41:28, 1095.66, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:46:30, 1095.62, 2024-11-11 12:00:00, 920.0 
2024-11-11 10:51:33, 1094.68, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:01:09, 1090.68, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:06:12, 1089.08, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:11:14, 1084.55, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:16:17, 1079.54, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:21:19, 1077.9, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:26:22, 1074.54, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:31:24, 1073.69, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:36:26, 1074.39, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:41:29, 1071.32, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:46:31, 1069.67, 2024-11-11 12:00:00, 920.0 
2024-11-11 11:51:34, 1065.34, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:01:36, 1019.98, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:06:38, 1018.67, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:11:41, 1016.55, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:16:43, 1018.89, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:21:46, 1018.87, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:26:48, 1019.15, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:31:50, 1021.22, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:36:53, 1022.45, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:41:55, 1022.44, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:46:58, 1023.27, 2024-11-11 12:00:00, 920.0 
2024-11-11 13:52:00, 1020.33, 2024-11-11 12:00:00, 920.0 
