DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20260210,130228.644708,130228.644708,0.0,843.78 um_pwv,1030.07 um_pwv,35.0,2.226 K,1.98872
20260210,130229.604649,130229.604649,0.0,839.791 um_pwv,1025.2 um_pwv,35.0,2.179 K,1.97929
20260210,130230.566874,130230.566874,0.0,837.441 um_pwv,1022.33 um_pwv,35.0,2.087 K,1.97373
20260210,130231.524973,130231.524973,0.0,835.09 um_pwv,1019.46 um_pwv,35.0,2.118 K,1.96818
20260210,130232.485058,130232.485058,0.0,829.992 um_pwv,1013.23 um_pwv,35.0,2.071 K,1.95613
20260210,130233.445969,130233.445969,0.0,826.773 um_pwv,1009.3 um_pwv,35.0,1.989 K,1.94852
20260210,130234.403041,130234.403041,0.0,826.752 um_pwv,1009.28 um_pwv,35.0,2.122 K,1.94848
20260210,130235.365417,130235.365417,0.0,823.302 um_pwv,1005.07 um_pwv,35.0,2.115 K,1.94032
20260210,130236.325464,130236.325464,0.0,826.059 um_pwv,1008.43 um_pwv,35.0,2.251 K,1.94684
20260210,130237.284710,130237.284710,0.0,826.72 um_pwv,1009.24 um_pwv,35.0,2.229 K,1.94840
20260210,130238.243943,130238.243943,0.0,829.962 um_pwv,1013.2 um_pwv,35.0,2.397 K,1.95606
20260210,130239.205135,130239.205135,0.0,831.52 um_pwv,1015.1 um_pwv,35.0,2.431 K,1.95974
20260210,130240.165227,130240.165227,0.0,832.794 um_pwv,1016.65 um_pwv,35.0,2.438 K,1.96275
20260210,130241.124157,130241.124157,0.0,834.172 um_pwv,1018.34 um_pwv,35.0,2.386 K,1.96601
20260210,130242.083504,130242.083504,0.0,833.708 um_pwv,1017.77 um_pwv,35.0,2.331 K,1.96491
20260210,130243.042645,130243.042645,0.0,837.856 um_pwv,1022.83 um_pwv,35.0,2.284 K,1.97472
20260210,130244.002856,130244.002856,0.0,837.431 um_pwv,1022.32 um_pwv,35.0,2.137 K,1.97371
20260210,130244.964165,130244.964165,0.0,836.667 um_pwv,1021.38 um_pwv,35.0,2.034 K,1.97191
20260210,130245.925537,130245.925537,0.0,838.134 um_pwv,1023.17 um_pwv,35.0,2.026 K,1.97537
20260210,130246.885528,130246.885528,0.0,837.969 um_pwv,1022.97 um_pwv,35.0,1.94 K,1.97498
20260210,130247.844969,130247.844969,0.0,837.845 um_pwv,1022.82 um_pwv,35.0,1.889 K,1.97469
20260210,130248.805186,130248.805186,0.0,838.921 um_pwv,1024.13 um_pwv,35.0,1.866 K,1.97723
20260210,130249.767047,130249.767047,0.0,841.16 um_pwv,1026.87 um_pwv,35.0,1.796 K,1.98252
20260210,130250.727035,130250.727035,0.0,843.896 um_pwv,1030.21 um_pwv,35.0,1.923 K,1.98899
20260210,130251.686647,130251.686647,0.0,845.459 um_pwv,1032.12 um_pwv,35.0,2 K,1.99268
20260210,130252.645182,130252.645182,0.0,847.851 um_pwv,1035.04 um_pwv,35.0,2.172 K,1.99834
20260210,130253.602999,130253.602999,0.0,850.819 um_pwv,1038.66 um_pwv,35.0,2.239 K,2.00535
20260210,130254.567118,130254.567118,0.0,849.003 um_pwv,1036.44 um_pwv,35.0,2.213 K,2.00106
20260210,130255.521825,130255.521825,0.0,850.126 um_pwv,1037.81 um_pwv,35.0,2.308 K,2.00371
20260210,130256.481525,130256.481525,0.0,849.275 um_pwv,1036.77 um_pwv,35.0,2.374 K,2.00170
20260210,130257.441403,130257.441403,0.0,847.182 um_pwv,1034.22 um_pwv,35.0,2.282 K,1.99675
20260210,130258.406847,130258.406847,0.0,844.301 um_pwv,1030.7 um_pwv,35.0,2.292 K,1.98995
20260210,130259.365954,130259.365954,0.0,839.294 um_pwv,1024.59 um_pwv,35.0,2.198 K,1.97811
20260210,130300.325543,130300.325543,0.0,835.594 um_pwv,1020.07 um_pwv,35.0,2.138 K,1.96937
20260210,130301.284994,130301.284994,0.0,831.89 um_pwv,1015.55 um_pwv,35.0,2.036 K,1.96062
20260210,130302.244784,130302.244784,0.0,828.439 um_pwv,1011.34 um_pwv,35.0,2 K,1.95246
20260210,130303.204972,130303.204972,0.0,825.651 um_pwv,1007.93 um_pwv,35.0,1.935 K,1.94587
20260210,130304.164901,130304.164901,0.0,825.867 um_pwv,1008.2 um_pwv,35.0,2.038 K,1.94638
20260210,130305.124530,130305.124530,0.0,823.973 um_pwv,1005.89 um_pwv,35.0,2.146 K,1.94191
20260210,130306.083463,130306.083463,0.0,824.979 um_pwv,1007.11 um_pwv,35.0,2.204 K,1.94429
20260210,130307.046767,130307.046767,0.0,827.027 um_pwv,1009.61 um_pwv,35.0,2.37 K,1.94912
20260210,130308.005426,130308.005426,0.0,830.044 um_pwv,1013.3 um_pwv,35.0,2.374 K,1.95625
20260210,130308.963337,130308.963337,0.0,831.52 um_pwv,1015.1 um_pwv,35.0,2.451 K,1.95974
20260210,130309.922844,130309.922844,0.0,832.383 um_pwv,1016.15 um_pwv,35.0,2.484 K,1.96178
20260210,130310.884907,130310.884907,0.0,833.678 um_pwv,1017.73 um_pwv,35.0,2.358 K,1.96484
20260210,130311.844106,130311.844106,0.0,836.369 um_pwv,1021.02 um_pwv,35.0,2.439 K,1.97120
20260210,130312.807607,130312.807607,0.0,838.279 um_pwv,1023.35 um_pwv,35.0,2.323 K,1.97572
20260210,130313.763158,130313.763158,0.0,837.204 um_pwv,1022.04 um_pwv,35.0,2.184 K,1.97318
20260210,130314.727170,130314.727170,0.0,839.791 um_pwv,1025.2 um_pwv,35.0,2.133 K,1.97929
20260210,130315.684013,130315.684013,0.0,838.528 um_pwv,1023.65 um_pwv,35.0,1.959 K,1.97630
20260210,130316.643307,130316.643307,0.0,837.815 um_pwv,1022.78 um_pwv,35.0,1.778 K,1.97462
20260210,130317.608007,130317.608007,0.0,839.667 um_pwv,1025.04 um_pwv,35.0,1.81 K,1.97899
20260210,130318.567428,130318.567428,0.0,841.19 um_pwv,1026.9 um_pwv,35.0,1.91 K,1.98260
20260210,130319.523127,130319.523127,0.0,842.074 um_pwv,1027.98 um_pwv,35.0,1.842 K,1.98468
20260210,130320.481941,130320.481941,0.0,846.074 um_pwv,1032.87 um_pwv,35.0,2.061 K,1.99414
20260210,130321.446626,130321.446626,0.0,848.133 um_pwv,1035.38 um_pwv,35.0,2.121 K,1.99900
20260210,130322.406020,130322.406020,0.0,849.497 um_pwv,1037.04 um_pwv,35.0,2.209 K,2.00222
20260210,130323.365905,130323.365905,0.0,851.006 um_pwv,1038.89 um_pwv,35.0,2.317 K,2.00579
20260210,130324.327569,130324.327569,0.0,851.426 um_pwv,1039.4 um_pwv,35.0,2.397 K,2.00678
20260210,130325.288104,130325.288104,0.0,850.45 um_pwv,1038.21 um_pwv,35.0,2.435 K,2.00448
20260210,130326.245121,130326.245121,0.0,846.973 um_pwv,1033.96 um_pwv,35.0,2.41 K,1.99626
20260210,130327.205343,130327.205343,0.0,845.896 um_pwv,1032.65 um_pwv,35.0,2.341 K,1.99371
20260210,130328.167018,130328.167018,0.0,842.46 um_pwv,1028.45 um_pwv,35.0,2.278 K,1.98560
20260210,130329.124391,130329.124391,0.0,838.022 um_pwv,1023.04 um_pwv,35.0,2.218 K,1.97511
20260210,130330.088212,130330.088212,0.0,833.246 um_pwv,1017.21 um_pwv,35.0,2.058 K,1.96382
20260210,130331.043940,130331.043940,0.0,830.003 um_pwv,1013.25 um_pwv,35.0,2.028 K,1.95616
20260210,130332.004134,130332.004134,0.0,828.1 um_pwv,1010.92 um_pwv,35.0,2.11 K,1.95166
20260210,130332.965742,130332.965742,0.0,826.458 um_pwv,1008.92 um_pwv,35.0,2.019 K,1.94778
20260210,130333.925042,130333.925042,0.0,825.296 um_pwv,1007.5 um_pwv,35.0,2.103 K,1.94503
20260210,130334.885093,130334.885093,0.0,824.052 um_pwv,1005.98 um_pwv,35.0,2.059 K,1.94209
20260210,130335.844098,130335.844098,0.0,823.555 um_pwv,1005.38 um_pwv,35.0,2.219 K,1.94092
20260210,130336.804549,130336.804549,0.0,826.691 um_pwv,1009.2 um_pwv,35.0,2.227 K,1.94833
20260210,130337.767583,130337.767583,0.0,829.286 um_pwv,1012.37 um_pwv,35.0,2.423 K,1.95446
