# WVR data file, version 2017-12-05
#As Scanning Observation 
#
TIME TIMEWVR HOT_TEMP HOT_SETP HOT_PWM COLD_TEMP COLD_SETP COLD_PWM CHOP_PWM CHOP_CURR TP_TEMP TP_SETP BE_TEMP BE_SETP BE_PWM CS_TEMP CS_SETP CS_PWM LNA_TEMP TSRC0 TSRC1 TSRC2 TSRC3 EL AZ
2025-01-02T03:01:35.969210 93.5999984741 363.16293335 363.149993896 30.859375 283.147369385 283.149993896 32.8125 8.59375 0.0254515167326 296.858795166 294.149993896 311.634979248 312.149993896 50.0 304.228912354 304.149993896 35.15625 307.408874512 149.334060669 83.4309921265 45.5360412598 33.1917800903 55.0 2.625
2025-01-02T03:01:37.033180 94.65599823 363.15713501 363.149993896 31.25 283.146820068 283.149993896 32.8125 8.203125 0.0298406369984 296.86227417 294.149993896 311.633300781 312.149993896 50.390625 304.230102539 304.149993896 35.15625 307.406555176 149.58291626 83.6415786743 45.5422134399 33.0999946594 55.0 14.25
2025-01-02T03:01:37.993742 95.6159973145 363.147644043 363.149993896 31.640625 283.152313232 283.149993896 32.8125 8.203125 0.054102730006 296.858459473 294.149993896 311.612457275 312.149993896 52.34375 304.230438232 304.149993896 34.375 307.395721436 149.44342041 83.7234115601 45.6568374634 33.5395126343 55.0 25.95
2025-01-02T03:01:38.953734 96.5759963989 363.154083252 363.149993896 31.640625 283.155883789 283.149993896 33.203125 5.46875 0.0362566709518 296.861572266 294.149993896 311.611755371 312.149993896 52.734375 304.230438232 304.149993896 35.546875 307.406890869 149.519821167 84.0563659668 45.985332489 33.5733032227 55.0 37.575
2025-01-02T03:01:39.908988 97.5360031128 363.155151367 363.149993896 31.25 283.150695801 283.149993896 33.203125 8.59375 0.00697300443426 296.864807129 294.149993896 311.626281738 312.149993896 51.171875 304.222839355 304.149993896 34.375 307.409332275 149.707565308 84.0137481689 46.1629753113 33.6818847656 55.0 49.275
2025-01-02T03:01:40.869752 98.4960021973 363.149475098 363.149993896 31.25 283.15814209 283.149993896 33.203125 8.203125 0.0711943656206 296.862976074 294.149993896 311.636352539 312.149993896 50.0 304.239440918 304.149993896 36.328125 307.395507812 149.794342041 84.1382675171 46.2196121216 33.866230011 55.0 60.975
2025-01-02T03:01:41.830223 99.4560012817 363.14163208 363.149993896 31.640625 283.147125244 283.149993896 32.8125 11.71875 0.0166732557118 296.868835449 294.149993896 311.631164551 312.149993896 50.78125 304.227111816 304.149993896 35.15625 307.386535645 149.863632202 84.1445922852 46.2396011353 34.0102233887 55.0 72.675
2025-01-02T03:01:42.791371 100.416000366 363.145477295 363.149993896 31.25 283.150970459 283.149993896 32.8125 8.203125 0.0503232255578 296.869415283 294.149993896 311.617095947 312.149993896 51.953125 304.230773926 304.149993896 35.15625 307.394195557 150.191192627 84.1887664795 46.3213882446 34.1098442078 55.0 84.375
2025-01-02T03:01:43.752686 101.375999451 363.145385742 363.149993896 31.640625 283.151763916 283.149993896 32.8125 8.59375 0.0339782722294 296.869720459 294.149993896 311.622924805 312.149993896 51.171875 304.22833252 304.149993896 35.15625 307.388793945 150.332962036 84.3061447144 46.435344696 34.0534133911 55.0 96.075
2025-01-02T03:01:44.713915 102.335998535 363.146453857 363.149993896 31.640625 283.145935059 283.149993896 32.03125 8.59375 0.02910146676 296.865386963 294.149993896 311.645751953 312.149993896 48.828125 304.217803955 304.149993896 0.0 307.387390137 150.094268799 84.1971054077 46.0974960327 34.1066513062 55.0 107.7
